CustomerID,Recency,Frequency,Monetary,HVC_Criteria,RFM_Segment,RFM_Score
100084,16,17,154516.35,Top 10% Frequency,Potential,10
100085,2,10,140629.45,Recent High Value,Potential,10
100086,20,7,97347.21,Recent High Value,At Risk,4
100087,15,6,81127.09,Recent High Value,At Risk,3
100088,9,8,125764.9,Recent High Value,At Risk,6
100089,1,18,253617.49,Top 5% Monetary,Champions,15
100090,18,12,164793.23,Recent High Value,Needs Attention,8
100091,9,12,119692.25,Recent High Value,Needs Attention,7
100092,10,10,150848.23,Recent High Value,Needs Attention,8
100093,1,9,115639.8,Recent High Value,Potential,9
100094,14,11,166591.07,Recent High Value,Needs Attention,8
100095,8,13,160083.13,Recent High Value,Loyal,11
100096,10,10,144276.53,Recent High Value,Needs Attention,7
100097,1,11,137984.44,Recent High Value,Loyal,11
100098,11,10,143726.07,Recent High Value,Needs Attention,7
100099,2,10,121480.65,Recent High Value,Potential,9
100100,3,12,134514.01,Recent High Value,Potential,10
100101,27,6,97841.67,Recent High Value,At Risk,4
100102,1,7,63432.37,Recent High Value,Needs Attention,7
100103,11,9,105005.46,Recent High Value,At Risk,6
100104,1,19,271728.01,Top 5% Monetary,Champions,15
100105,1,14,174447.81,Recent High Value,Champions,13
100106,11,13,138878.56,Recent High Value,Potential,9
100107,1,13,173118.16999999998,Recent High Value,Champions,13
100108,13,12,206703.94,Recent High Value,Potential,10
100109,3,19,241533.11,Top 5% Monetary,Champions,14
100110,9,10,133279.04,Recent High Value,Needs Attention,7
100111,12,13,155579.32,Recent High Value,Potential,10
100112,13,9,106155.93,Recent High Value,At Risk,6
100113,9,8,120840.53,Recent High Value,At Risk,5
100114,14,11,139759.36,Recent High Value,Needs Attention,7
100115,9,12,140405.94999999998,Recent High Value,Needs Attention,8
100116,2,5,61895.48,Recent High Value,Needs Attention,7
100118,7,10,118140.07,Recent High Value,Needs Attention,7
100119,11,7,84977.23,Recent High Value,At Risk,4
100120,10,14,126998.32,Recent High Value,Potential,9
100121,2,17,227506.94,Top 5% Monetary,Champions,15
100122,13,12,160666.03,Recent High Value,Potential,9
100123,17,4,56688.79,Recent High Value,At Risk,3
100124,7,9,93329.01,Recent High Value,At Risk,6
100125,2,19,224675.19,Top 5% Monetary,Champions,15
100126,2,8,80869.45,Recent High Value,Needs Attention,7
100127,3,10,133851.0,Recent High Value,Potential,9
100128,11,6,54881.05,Recent High Value,At Risk,4
100129,2,9,62631.69,Recent High Value,Needs Attention,8
100130,4,7,104863.99,Recent High Value,Needs Attention,7
100131,1,16,179727.08,Top 10% Frequency,Champions,15
100132,16,9,120324.57,Recent High Value,At Risk,5
100133,3,14,191351.03,Recent High Value,Champions,13
100134,8,12,167089.22,Recent High Value,Potential,10
100135,4,8,86587.97,Recent High Value,At Risk,6
100136,11,15,166434.58,Recent High Value,Loyal,11
100137,5,14,173993.0,Recent High Value,Loyal,12
100138,2,15,141648.2,Recent High Value,Champions,13
100139,14,8,109824.73,Recent High Value,At Risk,4
100140,12,12,109611.22,Recent High Value,Needs Attention,7
100141,4,8,102034.77,Recent High Value,Needs Attention,7
100142,2,3,13023.43,Recent High Value,Needs Attention,7
100143,15,9,85570.23999999999,Recent High Value,At Risk,4
100144,4,9,101201.77,Recent High Value,Needs Attention,8
100145,21,14,144652.66999999998,Recent High Value,Needs Attention,8
100146,8,8,58909.07,Recent High Value,At Risk,5
100147,7,12,174336.27,Recent High Value,Potential,10
100148,7,10,145004.16,Recent High Value,Needs Attention,8
100149,13,10,142344.09,Recent High Value,Needs Attention,7
100150,19,11,127488.66,Recent High Value,Needs Attention,7
100151,1,10,114439.78,Recent High Value,Potential,9
100152,20,13,212242.75,Recent High Value,Potential,10
100153,15,13,176354.71000000002,Recent High Value,Potential,10
100154,7,13,157306.08000000002,Recent High Value,Loyal,11
100155,27,10,94671.15,Recent High Value,At Risk,4
100156,7,10,106958.87,Recent High Value,Needs Attention,7
100157,11,11,136866.14,Recent High Value,Needs Attention,8
100158,14,11,107180.3,Recent High Value,At Risk,6
100159,10,14,170376.84,Recent High Value,Potential,10
100160,3,15,197194.98,Recent High Value,Champions,14
100161,3,15,200651.09,Recent High Value,Champions,14
100162,9,10,155707.46,Recent High Value,Needs Attention,8
100163,4,13,150115.74,Recent High Value,Loyal,12
100164,6,11,98169.54,Recent High Value,Needs Attention,8
100166,1,14,164955.96,Recent High Value,Champions,13
100167,6,11,148752.96,Recent High Value,Potential,10
100168,7,14,156605.2,Recent High Value,Loyal,11
100169,4,14,154501.38,Recent High Value,Loyal,12
100170,3,15,154903.22,Recent High Value,Champions,13
100171,13,9,97355.9,Recent High Value,At Risk,6
100172,7,13,159597.74,Recent High Value,Loyal,11
100173,2,13,179145.07,Recent High Value,Champions,14
100174,1,14,143287.45,Recent High Value,Loyal,12
100175,10,9,105917.1,Recent High Value,At Risk,6
100176,8,9,89859.56,Recent High Value,At Risk,6
100177,1,17,160033.63999999998,Top 10% Frequency,Champions,14
100178,6,14,166798.78,Recent High Value,Loyal,11
100179,2,12,153059.35,Recent High Value,Loyal,12
100181,3,13,135268.44,Recent High Value,Loyal,11
100182,4,14,178913.98,Recent High Value,Champions,13
100183,15,9,109347.17,Recent High Value,At Risk,5
100184,2,19,200387.73,Top 10% Frequency,Champions,15
100185,4,14,179487.93,Recent High Value,Champions,13
100186,16,10,134743.82,Recent High Value,At Risk,6
100187,4,13,158556.15,Recent High Value,Loyal,12
100188,6,11,124192.26,Recent High Value,Potential,9
100189,5,15,165601.07,Recent High Value,Champions,13
100190,6,12,142757.68,Recent High Value,Potential,9
100191,1,11,110371.21,Recent High Value,Potential,10
100192,8,12,153289.01,Recent High Value,Potential,10
100193,5,12,127041.87,Recent High Value,Potential,10
100194,5,8,117072.82,Recent High Value,Needs Attention,7
100195,5,6,88455.14,Recent High Value,At Risk,6
100196,21,16,184224.0,Top 10% Frequency,Loyal,11
100197,4,12,158990.09,Recent High Value,Loyal,11
100198,16,8,111069.47,Recent High Value,At Risk,4
100199,19,11,115695.23,Recent High Value,At Risk,6
100200,9,14,162430.3,Recent High Value,Potential,10
100201,4,11,90224.51,Recent High Value,Needs Attention,8
100202,3,13,166458.14,Recent High Value,Loyal,12
100203,2,17,205411.46,Top 10% Frequency,Champions,15
100204,4,8,126962.17,Recent High Value,Needs Attention,8
100205,1,13,137088.33000000002,Recent High Value,Loyal,12
100206,1,13,170090.4,Recent High Value,Champions,13
100207,1,15,171013.02,Recent High Value,Champions,14
100208,4,14,189602.38,Recent High Value,Champions,13
100209,2,13,187223.42,Recent High Value,Champions,14
100210,5,10,103168.63,Recent High Value,Needs Attention,8
100211,2,15,218130.89,Recent High Value,Champions,15
100212,5,9,89120.83,Recent High Value,Needs Attention,7
100213,17,9,138390.58000000002,Recent High Value,At Risk,6
100214,2,17,220317.96,Top 5% Monetary,Champions,15
100215,7,11,188107.7,Recent High Value,Loyal,11
100216,11,13,110018.86,Recent High Value,Needs Attention,8
100217,2,12,155673.53,Recent High Value,Loyal,12
100218,7,12,155922.66999999998,Recent High Value,Potential,10
100219,6,15,206223.33,Recent High Value,Champions,13
100220,1,9,116524.95,Recent High Value,Potential,9
100221,5,7,119899.07,Recent High Value,Needs Attention,7
100222,7,12,165372.14,Recent High Value,Potential,10
100223,4,11,148684.26,Recent High Value,Loyal,11
100224,9,9,115108.99,Recent High Value,At Risk,6
100225,11,9,91421.46,Recent High Value,At Risk,5
100227,7,17,174604.29,Top 10% Frequency,Loyal,12
100228,2,12,134162.91999999998,Recent High Value,Loyal,11
100229,3,10,109099.56,Recent High Value,Needs Attention,8
100230,7,10,160435.68,Recent High Value,Potential,9
100231,5,15,254629.92,Top 5% Monetary,Champions,14
100232,1,11,119671.96,Recent High Value,Potential,10
100233,2,18,237292.1,Top 5% Monetary,Champions,15
100234,19,12,155637.94,Recent High Value,Needs Attention,8
100235,1,21,245021.31,Top 5% Monetary,Champions,15
100236,14,15,224529.33,Top 5% Monetary,Loyal,11
100237,8,7,112872.29,Recent High Value,At Risk,6
100238,15,11,169373.65,Recent High Value,Needs Attention,8
100239,12,12,117993.55,Recent High Value,Needs Attention,7
100240,20,9,85553.65,Recent High Value,At Risk,4
100241,16,13,169079.53,Recent High Value,Potential,9
100242,4,14,185046.54,Recent High Value,Champions,13
100243,1,18,287498.5,Top 5% Monetary,Champions,15
100244,19,8,95080.14,Recent High Value,At Risk,3
100245,3,7,97157.94,Recent High Value,Needs Attention,7
100246,4,10,108631.09,Recent High Value,Needs Attention,8
100247,18,7,89485.62,Recent High Value,At Risk,3
100248,12,7,96621.57,Recent High Value,At Risk,4
100249,10,18,186988.36,Top 10% Frequency,Loyal,12
100251,3,11,139307.76,Recent High Value,Potential,10
100252,6,14,171872.65,Recent High Value,Loyal,11
100253,3,6,72462.3,Recent High Value,At Risk,6
100254,16,13,189714.44,Recent High Value,Potential,10
100255,14,7,52018.2,Recent High Value,At Risk,3
100256,3,7,107930.0,Recent High Value,Needs Attention,7
100257,1,14,154915.27,Recent High Value,Champions,13
100258,9,14,172222.05000000002,Recent High Value,Potential,10
100259,14,10,100000.58,Recent High Value,At Risk,5
100260,8,13,179906.99,Recent High Value,Loyal,12
100261,9,5,83012.62,Recent High Value,At Risk,4
100262,10,14,135092.29,Recent High Value,Potential,9
100263,2,17,235871.28,Top 5% Monetary,Champions,15
100264,4,10,136940.41,Recent High Value,Potential,9
100265,2,10,133555.79,Recent High Value,Potential,10
100266,2,14,168490.96,Recent High Value,Champions,13
100267,4,10,125241.03,Recent High Value,Potential,9
100268,1,12,124220.23,Recent High Value,Loyal,11
100269,1,17,202226.04,Top 10% Frequency,Champions,15
100270,16,6,67160.31999999999,Recent High Value,At Risk,3
100272,8,9,109143.52,Recent High Value,Needs Attention,7
100273,11,11,121956.07,Recent High Value,Needs Attention,7
100274,15,6,66028.2,Recent High Value,At Risk,3
100275,5,11,132995.57,Recent High Value,Potential,10
100276,16,8,87027.17,Recent High Value,At Risk,3
100277,1,13,133432.51,Recent High Value,Loyal,12
100278,7,15,182996.03,Recent High Value,Champions,13
100279,14,14,177888.05,Recent High Value,Potential,10
100280,12,8,91642.91,Recent High Value,At Risk,4
100281,2,14,118334.7,Recent High Value,Loyal,11
100282,9,9,114034.94,Recent High Value,At Risk,6
100283,25,14,165953.7,Recent High Value,Potential,9
100284,2,17,164502.15,Top 10% Frequency,Champions,14
100285,15,9,126386.08,Recent High Value,At Risk,6
100286,3,10,123568.65,Recent High Value,Potential,9
100287,7,12,113009.54,Recent High Value,Needs Attention,8
100288,25,6,75749.96,Recent High Value,At Risk,3
100289,11,7,67941.55,Recent High Value,At Risk,4
100290,21,7,100040.14,Recent High Value,At Risk,4
100291,4,9,148091.27,Recent High Value,Potential,10
100292,13,13,144103.03,Recent High Value,Potential,9
100293,4,14,182910.71,Recent High Value,Champions,13
100294,8,17,226975.46,Top 5% Monetary,Champions,13
100295,2,11,164007.33000000002,Recent High Value,Loyal,12
100296,1,15,164988.49,Recent High Value,Champions,14
100297,17,5,68537.2,Recent High Value,At Risk,3
100298,1,11,104760.03,Recent High Value,Potential,10
100299,13,9,116818.74,Recent High Value,At Risk,6
100300,8,11,110508.2,Recent High Value,Needs Attention,8
100301,4,13,162284.14,Recent High Value,Loyal,12
100302,17,9,128107.44,Recent High Value,At Risk,6
100303,8,13,158334.66,Recent High Value,Loyal,11
100304,4,11,59153.91,Recent High Value,Needs Attention,8
100305,25,9,126762.83,Recent High Value,At Risk,6
100306,9,13,187086.6,Recent High Value,Loyal,11
100307,13,6,106365.2,Recent High Value,At Risk,5
100308,13,8,99940.34,Recent High Value,At Risk,5
100309,5,7,94387.64,Recent High Value,At Risk,6
100310,3,11,98120.59,Recent High Value,Potential,9
100311,21,9,105219.28,Recent High Value,At Risk,5
100312,1,15,162467.63,Recent High Value,Champions,14
100313,2,9,130549.16,Recent High Value,Potential,10
100314,2,11,148493.29,Recent High Value,Loyal,12
100315,5,11,158791.16999999998,Recent High Value,Loyal,11
100316,7,8,85951.58,Recent High Value,At Risk,5
100317,1,9,98317.87,Recent High Value,Potential,9
100318,2,11,114011.37,Recent High Value,Potential,10
100319,17,8,68577.97,Recent High Value,At Risk,3
100320,4,9,81510.14,Recent High Value,Needs Attention,7
100321,6,8,109932.73,Recent High Value,At Risk,6
100322,9,12,161892.51,Recent High Value,Potential,9
100323,2,13,182007.77,Recent High Value,Champions,14
100324,17,9,92048.96,Recent High Value,At Risk,4
100325,16,14,150807.33,Recent High Value,Potential,9
100326,15,9,124442.48,Recent High Value,At Risk,6
100327,1,9,150516.88,Recent High Value,Loyal,11
100328,5,9,131449.54,Recent High Value,Potential,9
100329,2,13,137674.3,Recent High Value,Loyal,12
100330,4,14,172729.97999999998,Recent High Value,Loyal,12
100331,18,9,119927.87,Recent High Value,At Risk,5
100332,1,8,104801.83,Recent High Value,Needs Attention,8
100334,2,17,221206.91,Top 5% Monetary,Champions,15
100335,9,6,79122.01999999999,Recent High Value,At Risk,4
100336,12,10,94210.54,Recent High Value,At Risk,5
100337,3,16,184664.27,Top 10% Frequency,Champions,14
100338,9,10,78157.59,Recent High Value,At Risk,5
100339,10,15,213990.82,Recent High Value,Loyal,12
100340,3,19,249302.52,Top 5% Monetary,Champions,14
100341,2,15,178001.11,Recent High Value,Champions,15
100342,13,12,132525.75,Recent High Value,Needs Attention,8
100343,2,11,149587.07,Recent High Value,Loyal,12
100344,4,13,153556.85,Recent High Value,Loyal,12
100345,2,12,137689.09,Recent High Value,Loyal,11
100346,10,13,151726.86000000002,Recent High Value,Potential,10
100347,16,10,125053.38,Recent High Value,At Risk,6
100348,1,11,130293.17,Recent High Value,Loyal,11
100349,13,8,69259.6,Recent High Value,At Risk,4
100350,3,11,119155.2,Recent High Value,Potential,9
100351,13,14,142747.22,Recent High Value,Potential,9
100352,3,22,269411.4,Top 5% Monetary,Champions,14
100353,4,15,196651.3,Recent High Value,Champions,14
100354,4,6,60726.3,Recent High Value,At Risk,6
100355,3,8,95646.1,Recent High Value,At Risk,6
100356,9,10,134241.89,Recent High Value,Needs Attention,7
100357,2,8,76482.31,Recent High Value,Needs Attention,7
100358,2,10,147922.82,Recent High Value,Loyal,11
100359,7,11,119052.22,Recent High Value,Needs Attention,8
100360,3,11,125417.67,Recent High Value,Potential,10
100361,5,14,241979.75,Top 5% Monetary,Champions,13
100362,1,9,75954.12,Recent High Value,Needs Attention,8
100363,13,4,49576.16,Recent High Value,At Risk,4
100364,11,10,92264.38,Recent High Value,At Risk,5
100365,2,13,138764.22,Recent High Value,Loyal,12
100366,17,9,95231.02,Recent High Value,At Risk,4
100367,4,15,169972.88999999998,Recent High Value,Champions,13
100368,3,25,373735.17,Top 5% Monetary,Champions,14
100369,7,6,52597.24,Recent High Value,At Risk,5
100370,16,6,96565.47,Recent High Value,At Risk,3
100371,7,7,96729.87,Recent High Value,At Risk,6
100372,9,12,169155.35,Recent High Value,Potential,9
100373,6,15,151041.82,Recent High Value,Loyal,12
100375,1,18,202774.1,Top 10% Frequency,Champions,15
100376,7,16,193738.62,Top 10% Frequency,Champions,13
100378,12,7,81746.20999999999,Recent High Value,At Risk,4
100380,15,7,105082.53,Recent High Value,At Risk,4
100381,18,10,128793.28,Recent High Value,At Risk,6
100382,17,11,136946.11000000002,Recent High Value,Needs Attention,7
100383,1,12,139919.35,Recent High Value,Loyal,11
100384,4,14,179531.16,Recent High Value,Champions,13
100385,14,15,161944.22999999998,Recent High Value,Potential,10
100386,12,18,191898.42,Top 10% Frequency,Loyal,12
100387,1,17,214190.29,Top 10% Frequency,Champions,15
100388,7,12,146724.33000000002,Recent High Value,Potential,10
100389,7,12,154576.83,Recent High Value,Potential,10
100390,13,11,137590.03,Recent High Value,Needs Attention,8
100391,8,9,148354.66999999998,Recent High Value,Potential,9
100392,20,14,172070.79,Recent High Value,Potential,9
100393,10,11,137529.15,Recent High Value,Needs Attention,8
100394,10,10,130466.89,Recent High Value,Needs Attention,7
100395,1,10,138045.96,Recent High Value,Potential,10
100396,9,6,86526.76999999999,Recent High Value,At Risk,4
100397,1,11,87202.55,Recent High Value,Potential,9
100398,12,14,224569.95,Top 5% Monetary,Loyal,11
100399,24,7,101112.04,Recent High Value,At Risk,4
100400,2,8,99491.44,Recent High Value,Needs Attention,8
100401,10,8,112242.88,Recent High Value,At Risk,5
100402,8,9,70145.32,Recent High Value,At Risk,6
100404,14,5,62181.94,Recent High Value,At Risk,3
100405,17,14,136690.22,Recent High Value,Needs Attention,8
100406,3,11,122970.26,Recent High Value,Potential,10
100407,2,12,156244.07,Recent High Value,Loyal,12
100408,2,11,104411.77,Recent High Value,Potential,10
100409,1,18,233594.09,Top 5% Monetary,Champions,15
100410,3,16,207812.2,Top 10% Frequency,Champions,14
100411,8,12,163856.72999999998,Recent High Value,Potential,10
100412,10,12,167170.84,Recent High Value,Potential,9
100413,1,11,134908.52,Recent High Value,Loyal,11
100414,9,8,100201.42,Recent High Value,At Risk,5
100415,7,12,168314.46,Recent High Value,Potential,10
100416,10,5,52197.66,Recent High Value,At Risk,4
100417,3,18,211560.33,Top 10% Frequency,Champions,14
100418,6,20,237259.81,Top 5% Monetary,Champions,13
100419,11,6,58462.420000000006,Recent High Value,At Risk,4
100420,10,11,151962.53,Recent High Value,Potential,9
100421,10,11,165420.91,Recent High Value,Potential,9
100422,3,12,160128.3,Recent High Value,Loyal,11
100424,10,11,181907.12,Recent High Value,Potential,10
100425,15,14,183650.49,Recent High Value,Potential,10
100426,3,11,130900.58,Recent High Value,Potential,10
100427,18,5,44413.57,Recent High Value,At Risk,3
100428,2,10,81186.4,Recent High Value,Needs Attention,8
100429,2,6,54220.34,Recent High Value,Needs Attention,7
100430,9,12,137584.07,Recent High Value,Needs Attention,8
100432,2,13,145092.27,Recent High Value,Loyal,12
100433,1,13,147101.24,Recent High Value,Champions,13
100434,6,14,170923.75,Recent High Value,Loyal,11
100435,23,9,92575.49,Recent High Value,At Risk,4
100436,22,7,91470.64,Recent High Value,At Risk,3
100437,6,8,85206.53,Recent High Value,At Risk,5
100438,2,12,152930.7,Recent High Value,Loyal,12
100439,6,11,129330.43,Recent High Value,Potential,9
100440,8,11,140593.33000000002,Recent High Value,Potential,9
100441,7,8,81473.49,Recent High Value,At Risk,5
100442,2,8,85020.76,Recent High Value,Needs Attention,7
100443,3,12,161654.07,Recent High Value,Loyal,11
100444,10,12,109469.81,Recent High Value,Needs Attention,7
100445,9,6,71184.99,Recent High Value,At Risk,4
100446,7,14,171964.25,Recent High Value,Loyal,11
100447,12,10,109416.64,Recent High Value,At Risk,6
100448,8,13,192023.65,Recent High Value,Loyal,12
100449,3,16,203450.3,Top 10% Frequency,Champions,14
100450,9,10,109040.95,Recent High Value,At Risk,6
100451,3,5,62538.130000000005,Recent High Value,At Risk,6
100452,1,7,88693.41,Recent High Value,Needs Attention,7
100453,9,14,191956.63,Recent High Value,Loyal,11
100454,10,10,115770.42,Recent High Value,At Risk,6
100455,6,22,304261.62,Top 5% Monetary,Champions,13
100456,2,15,168356.01,Recent High Value,Champions,14
100457,6,15,149773.25,Recent High Value,Loyal,12
100458,1,9,112751.23,Recent High Value,Potential,9
100459,18,13,145362.9,Recent High Value,Needs Attention,8
100460,27,9,144923.6,Recent High Value,At Risk,6
100461,2,14,155599.22,Recent High Value,Champions,13
100462,3,11,162716.66,Recent High Value,Loyal,11
100463,2,15,188164.2,Recent High Value,Champions,15
100464,23,8,98424.85,Recent High Value,At Risk,4
100465,4,18,197027.95,Top 10% Frequency,Champions,14
100467,2,7,70960.4,Recent High Value,Needs Attention,7
100468,21,12,111049.25,Recent High Value,At Risk,6
100469,13,11,138657.5,Recent High Value,Needs Attention,8
100470,5,7,106530.5,Recent High Value,Needs Attention,7
100471,8,10,125563.45,Recent High Value,Needs Attention,8
100472,1,12,128295.88,Recent High Value,Loyal,11
100474,9,13,145008.74,Recent High Value,Potential,9
100475,20,7,90053.59,Recent High Value,At Risk,3
100476,3,11,130251.59,Recent High Value,Potential,10
100477,3,20,276154.47,Top 5% Monetary,Champions,14
100478,16,12,139499.35,Recent High Value,Needs Attention,7
100479,2,12,144240.62,Recent High Value,Loyal,11
100480,29,6,66255.03,Recent High Value,At Risk,3
100481,4,8,87062.72,Recent High Value,At Risk,6
100482,8,10,138047.6,Recent High Value,Needs Attention,8
100483,8,9,107091.96,Recent High Value,Needs Attention,7
100484,6,9,74946.05,Recent High Value,At Risk,6
100485,16,10,84845.35,Recent High Value,At Risk,4
100486,7,6,118796.26,Recent High Value,At Risk,6
100487,8,14,147809.04,Recent High Value,Loyal,11
100488,2,20,248578.51,Top 5% Monetary,Champions,15
100489,3,18,293489.13,Top 5% Monetary,Champions,14
100490,3,13,189385.97,Recent High Value,Champions,13
100491,2,11,112126.96,Recent High Value,Potential,10
100492,20,16,179983.84,Top 10% Frequency,Loyal,11
100493,1,13,157344.47,Recent High Value,Champions,13
100494,10,8,94627.14,Recent High Value,At Risk,4
100495,4,14,168138.66999999998,Recent High Value,Loyal,12
100496,2,13,136568.35,Recent High Value,Loyal,12
100497,13,12,191152.06,Recent High Value,Potential,10
100498,7,11,98621.7,Recent High Value,Needs Attention,8
100499,6,14,179538.88,Recent High Value,Loyal,12
100500,8,10,110859.93,Recent High Value,Needs Attention,7
100501,4,13,176255.24,Recent High Value,Champions,13
100502,2,11,158821.17,Recent High Value,Loyal,12
100503,25,7,122635.72,Recent High Value,At Risk,5
100504,2,12,163795.83,Recent High Value,Loyal,12
100506,3,10,96585.34,Recent High Value,Needs Attention,7
100507,10,12,131388.17,Recent High Value,Needs Attention,8
100508,1,7,94862.21,Recent High Value,Needs Attention,7
100509,22,15,190517.19,Recent High Value,Loyal,11
100510,7,18,288463.59,Top 5% Monetary,Champions,13
100511,5,6,112817.0,Recent High Value,Needs Attention,7
100512,6,9,154724.53,Recent High Value,Potential,9
100513,5,14,153159.32,Recent High Value,Loyal,12
100514,6,16,195290.77,Top 10% Frequency,Champions,13
100515,10,14,188067.65,Recent High Value,Loyal,11
100516,17,8,117828.98,Recent High Value,At Risk,4
100517,2,10,88564.9,Recent High Value,Needs Attention,8
100518,3,16,198245.89,Top 10% Frequency,Champions,14
100519,3,9,123429.72,Recent High Value,Potential,9
100520,2,11,113037.03,Recent High Value,Potential,10
100521,4,11,98206.62,Recent High Value,Potential,9
100522,9,9,107171.69,Recent High Value,At Risk,6
100523,2,11,171057.15,Recent High Value,Loyal,12
100524,23,11,163041.46000000002,Recent High Value,Needs Attention,8
100525,9,16,218030.88,Top 10% Frequency,Loyal,12
100526,28,7,111854.85,Recent High Value,At Risk,4
100527,10,19,218131.46,Top 10% Frequency,Loyal,12
100528,2,10,104035.29,Recent High Value,Potential,9
100529,8,10,117664.59,Recent High Value,Needs Attention,7
100530,6,11,126091.76,Recent High Value,Potential,9
100531,4,22,212867.36,Top 10% Frequency,Champions,14
100532,16,11,138061.73,Recent High Value,Needs Attention,7
100533,11,14,179705.55,Recent High Value,Loyal,11
100534,2,11,142516.43,Recent High Value,Loyal,11
100535,2,15,190598.66,Recent High Value,Champions,15
100536,1,11,135323.16999999998,Recent High Value,Loyal,11
100537,1,9,103542.36,Recent High Value,Potential,9
100538,9,9,124102.14,Recent High Value,Needs Attention,7
100539,3,6,68112.6,Recent High Value,At Risk,6
100540,2,10,100100.71,Recent High Value,Potential,9
100541,5,11,161970.15,Recent High Value,Loyal,11
