CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_String,RFM_Segment
100194,5,8,117072.82,4,1,2,7,412,Needs Attention
100195,5,6,88455.14,4,1,1,6,411,At Risk
100196,21,16,184224.0,1,5,5,11,155,Loyal
100197,4,12,158990.09,4,3,4,11,434,Loyal
100198,16,8,111069.47,1,1,2,4,112,At Risk
100199,19,11,115695.23,1,3,2,6,132,At Risk
100200,9,14,162430.3,2,4,4,10,244,Potential
100201,4,11,90224.51,4,3,1,8,431,Needs Attention
100202,3,13,166458.14,4,4,4,12,444,Loyal
100203,2,17,205411.46,5,5,5,15,555,Champions
100204,4,8,126962.17,4,1,3,8,413,Needs Attention
100205,1,13,137088.33000000002,5,4,3,12,543,Loyal
100206,1,13,170090.4,5,4,4,13,544,Champions
100207,1,15,171013.02,5,5,4,14,554,Champions
100208,4,14,189602.38,4,4,5,13,445,Champions
100209,2,13,187223.42,5,4,5,14,545,Champions
100210,5,10,103168.63,4,2,2,8,422,Needs Attention
100211,2,15,218130.89,5,5,5,15,555,Champions
100212,5,9,89120.83,4,2,1,7,421,Needs Attention
100213,17,9,138390.58000000002,1,2,3,6,123,At Risk
100214,2,17,220317.96,5,5,5,15,555,Champions
100215,7,11,188107.7,3,3,5,11,335,Loyal
100216,11,13,110018.86,2,4,2,8,242,Needs Attention
100217,2,12,155673.53,5,3,4,12,534,Loyal
100218,7,12,155922.66999999998,3,3,4,10,334,Potential
100219,6,15,206223.33,3,5,5,13,355,Champions
100220,1,9,116524.95,5,2,2,9,522,Potential
100221,5,7,119899.07,4,1,2,7,412,Needs Attention
100222,7,12,165372.14,3,3,4,10,334,Potential
100223,4,11,148684.26,4,3,4,11,434,Loyal
100224,9,9,115108.99,2,2,2,6,222,At Risk
100225,11,9,91421.46,2,2,1,5,221,At Risk
100226,30,8,94252.77,1,1,1,3,111,At Risk
100227,7,17,174604.29,3,5,4,12,354,Loyal
100228,2,12,134162.91999999998,5,3,3,11,533,Loyal
100229,3,10,109099.56,4,2,2,8,422,Needs Attention
100230,7,10,160435.68,3,2,4,9,324,Potential
100231,5,15,254629.92,4,5,5,14,455,Champions
100232,1,11,119671.96,5,3,2,10,532,Potential
100233,2,18,237292.1,5,5,5,15,555,Champions
100234,19,12,155637.94,1,3,4,8,134,Needs Attention
100235,1,21,245021.31,5,5,5,15,555,Champions
100236,14,15,224529.33,1,5,5,11,155,Loyal
100237,8,7,112872.29,3,1,2,6,312,At Risk
100238,15,11,169373.65,1,3,4,8,134,Needs Attention
100239,12,12,117993.55,2,3,2,7,232,Needs Attention
100240,20,9,85553.65,1,2,1,4,121,At Risk
100241,16,13,169079.53,1,4,4,9,144,Potential
100242,4,14,185046.54,4,4,5,13,445,Champions
100243,1,18,287498.5,5,5,5,15,555,Champions
100244,19,8,95080.14,1,1,1,3,111,At Risk
100245,3,7,97157.94,4,1,2,7,412,Needs Attention
100246,4,10,108631.09,4,2,2,8,422,Needs Attention
100247,18,7,89485.62,1,1,1,3,111,At Risk
100248,12,7,96621.57,2,1,1,4,211,At Risk
100249,10,18,186988.36,2,5,5,12,255,Loyal
100250,39,5,35591.35,1,1,1,3,111,At Risk
100251,3,11,139307.76,4,3,3,10,433,Potential
100252,6,14,171872.65,3,4,4,11,344,Loyal
100253,3,6,72462.3,4,1,1,6,411,At Risk
100254,16,13,189714.44,1,4,5,10,145,Potential
100255,14,7,52018.2,1,1,1,3,111,At Risk
100256,3,7,107930.0,4,1,2,7,412,Needs Attention
100257,1,14,154915.27,5,4,4,13,544,Champions
100258,9,14,172222.05000000002,2,4,4,10,244,Potential
100259,14,10,100000.58,1,2,2,5,122,At Risk
100260,8,13,179906.99,3,4,5,12,345,Loyal
100261,9,5,83012.62,2,1,1,4,211,At Risk
100262,10,14,135092.29,2,4,3,9,243,Potential
100263,2,17,235871.28,5,5,5,15,555,Champions
100264,4,10,136940.41,4,2,3,9,423,Potential
100265,2,10,133555.79,5,2,3,10,523,Potential
100266,2,14,168490.96,5,4,4,13,544,Champions
100267,4,10,125241.03,4,2,3,9,423,Potential
100268,1,12,124220.23,5,3,3,11,533,Loyal
100269,1,17,202226.04,5,5,5,15,555,Champions
100270,16,6,67160.31999999999,1,1,1,3,111,At Risk
100271,32,10,124353.01,1,2,3,6,123,At Risk
100272,8,9,109143.52,3,2,2,7,322,Needs Attention
100273,11,11,121956.07,2,3,2,7,232,Needs Attention
100274,15,6,66028.2,1,1,1,3,111,At Risk
100275,5,11,132995.57,4,3,3,10,433,Potential
100276,16,8,87027.17,1,1,1,3,111,At Risk
100277,1,13,133432.51,5,4,3,12,543,Loyal
100278,7,15,182996.03,3,5,5,13,355,Champions
100279,14,14,177888.05,1,4,5,10,145,Potential
100280,12,8,91642.91,2,1,1,4,211,At Risk
100281,2,14,118334.7,5,4,2,11,542,Loyal
100282,9,9,114034.94,2,2,2,6,222,At Risk
100283,25,14,165953.7,1,4,4,9,144,Potential
100284,2,17,164502.15,5,5,4,14,554,Champions
100285,15,9,126386.08,1,2,3,6,123,At Risk
100286,3,10,123568.65,4,2,3,9,423,Potential
100287,7,12,113009.54,3,3,2,8,332,Needs Attention
100288,25,6,75749.96,1,1,1,3,111,At Risk
100289,11,7,67941.55,2,1,1,4,211,At Risk
100290,21,7,100040.14,1,1,2,4,112,At Risk
100291,4,9,148091.27,4,2,4,10,424,Potential
100292,13,13,144103.03,2,4,3,9,243,Potential
100293,4,14,182910.71,4,4,5,13,445,Champions
100294,8,17,226975.46,3,5,5,13,355,Champions
100295,2,11,164007.33000000002,5,3,4,12,534,Loyal
100296,1,15,164988.49,5,5,4,14,554,Champions
100297,17,5,68537.2,1,1,1,3,111,At Risk
100298,1,11,104760.03,5,3,2,10,532,Potential
100299,13,9,116818.74,2,2,2,6,222,At Risk
100300,8,11,110508.2,3,3,2,8,332,Needs Attention
100301,4,13,162284.14,4,4,4,12,444,Loyal
100302,17,9,128107.44,1,2,3,6,123,At Risk
100303,8,13,158334.66,3,4,4,11,344,Loyal
100304,4,11,59153.91,4,3,1,8,431,Needs Attention
100305,25,9,126762.83,1,2,3,6,123,At Risk
100306,9,13,187086.6,2,4,5,11,245,Loyal
100307,13,6,106365.2,2,1,2,5,212,At Risk
100308,13,8,99940.34,2,1,2,5,212,At Risk
100309,5,7,94387.64,4,1,1,6,411,At Risk
100310,3,11,98120.59,4,3,2,9,432,Potential
100311,21,9,105219.28,1,2,2,5,122,At Risk
100312,1,15,162467.63,5,5,4,14,554,Champions
100313,2,9,130549.16,5,2,3,10,523,Potential
100314,2,11,148493.29,5,3,4,12,534,Loyal
100315,5,11,158791.16999999998,4,3,4,11,434,Loyal
100316,7,8,85951.58,3,1,1,5,311,At Risk
100317,1,9,98317.87,5,2,2,9,522,Potential
100318,2,11,114011.37,5,3,2,10,532,Potential
100319,17,8,68577.97,1,1,1,3,111,At Risk
100320,4,9,81510.14,4,2,1,7,421,Needs Attention
100321,6,8,109932.73,3,1,2,6,312,At Risk
100322,9,12,161892.51,2,3,4,9,234,Potential
100323,2,13,182007.77,5,4,5,14,545,Champions
100324,17,9,92048.96,1,2,1,4,121,At Risk
100325,16,14,150807.33,1,4,4,9,144,Potential
100326,15,9,124442.48,1,2,3,6,123,At Risk
100327,1,9,150516.88,5,2,4,11,524,Loyal
100328,5,9,131449.54,4,2,3,9,423,Potential
100329,2,13,137674.3,5,4,3,12,543,Loyal
100330,4,14,172729.97999999998,4,4,4,12,444,Loyal
100331,18,9,119927.87,1,2,2,5,122,At Risk
100332,1,8,104801.83,5,1,2,8,512,Needs Attention
100333,48,4,40244.47,1,1,1,3,111,At Risk
100334,2,17,221206.91,5,5,5,15,555,Champions
100335,9,6,79122.01999999999,2,1,1,4,211,At Risk
100336,12,10,94210.54,2,2,1,5,221,At Risk
100337,3,16,184664.27,4,5,5,14,455,Champions
100338,9,10,78157.59,2,2,1,5,221,At Risk
100339,10,15,213990.82,2,5,5,12,255,Loyal
100340,3,19,249302.52,4,5,5,14,455,Champions
100341,2,15,178001.11,5,5,5,15,555,Champions
100342,13,12,132525.75,2,3,3,8,233,Needs Attention
100343,2,11,149587.07,5,3,4,12,534,Loyal
100344,4,13,153556.85,4,4,4,12,444,Loyal
100345,2,12,137689.09,5,3,3,11,533,Loyal
100346,10,13,151726.86000000002,2,4,4,10,244,Potential
100347,16,10,125053.38,1,2,3,6,123,At Risk
100348,1,11,130293.17,5,3,3,11,533,Loyal
100349,13,8,69259.6,2,1,1,4,211,At Risk
100350,3,11,119155.2,4,3,2,9,432,Potential
100351,13,14,142747.22,2,4,3,9,243,Potential
100352,3,22,269411.4,4,5,5,14,455,Champions
100353,4,15,196651.3,4,5,5,14,455,Champions
100354,4,6,60726.3,4,1,1,6,411,At Risk
100355,3,8,95646.1,4,1,1,6,411,At Risk
100356,9,10,134241.89,2,2,3,7,223,Needs Attention
100357,2,8,76482.31,5,1,1,7,511,Needs Attention
100358,2,10,147922.82,5,2,4,11,524,Loyal
100359,7,11,119052.22,3,3,2,8,332,Needs Attention
100360,3,11,125417.67,4,3,3,10,433,Potential
100361,5,14,241979.75,4,4,5,13,445,Champions
100362,1,9,75954.12,5,2,1,8,521,Needs Attention
100363,13,4,49576.16,2,1,1,4,211,At Risk
100364,11,10,92264.38,2,2,1,5,221,At Risk
100365,2,13,138764.22,5,4,3,12,543,Loyal
100366,17,9,95231.02,1,2,1,4,121,At Risk
100367,4,15,169972.88999999998,4,5,4,13,454,Champions
100368,3,25,373735.17,4,5,5,14,455,Champions
100369,7,6,52597.24,3,1,1,5,311,At Risk
100370,16,6,96565.47,1,1,1,3,111,At Risk
100371,7,7,96729.87,3,1,2,6,312,At Risk
100372,9,12,169155.35,2,3,4,9,234,Potential
100373,6,15,151041.82,3,5,4,12,354,Loyal
100374,49,6,62431.64,1,1,1,3,111,At Risk
100375,1,18,202774.1,5,5,5,15,555,Champions
100376,7,16,193738.62,3,5,5,13,355,Champions
100377,57,6,65066.25,1,1,1,3,111,At Risk
100378,12,7,81746.20999999999,2,1,1,4,211,At Risk
100379,32,11,141487.62,1,3,3,7,133,Needs Attention
100380,15,7,105082.53,1,1,2,4,112,At Risk
100381,18,10,128793.28,1,2,3,6,123,At Risk
100382,17,11,136946.11000000002,1,3,3,7,133,Needs Attention
100383,1,12,139919.35,5,3,3,11,533,Loyal
100384,4,14,179531.16,4,4,5,13,445,Champions
100385,14,15,161944.22999999998,1,5,4,10,154,Potential
100386,12,18,191898.42,2,5,5,12,255,Loyal
100387,1,17,214190.29,5,5,5,15,555,Champions
100388,7,12,146724.33000000002,3,3,4,10,334,Potential
100389,7,12,154576.83,3,3,4,10,334,Potential
100390,13,11,137590.03,2,3,3,8,233,Needs Attention
100391,8,9,148354.66999999998,3,2,4,9,324,Potential
100392,20,14,172070.79,1,4,4,9,144,Potential
100393,10,11,137529.15,2,3,3,8,233,Needs Attention
100394,10,10,130466.89,2,2,3,7,223,Needs Attention
100395,1,10,138045.96,5,2,3,10,523,Potential
100396,9,6,86526.76999999999,2,1,1,4,211,At Risk
100397,1,11,87202.55,5,3,1,9,531,Potential
100398,12,14,224569.95,2,4,5,11,245,Loyal
100399,24,7,101112.04,1,1,2,4,112,At Risk
100400,2,8,99491.44,5,1,2,8,512,Needs Attention
100401,10,8,112242.88,2,1,2,5,212,At Risk
100402,8,9,70145.32,3,2,1,6,321,At Risk
100403,32,9,137172.83,1,2,3,6,123,At Risk
100404,14,5,62181.94,1,1,1,3,111,At Risk
100405,17,14,136690.22,1,4,3,8,143,Needs Attention
100406,3,11,122970.26,4,3,3,10,433,Potential
100407,2,12,156244.07,5,3,4,12,534,Loyal
100408,2,11,104411.77,5,3,2,10,532,Potential
100409,1,18,233594.09,5,5,5,15,555,Champions
100410,3,16,207812.2,4,5,5,14,455,Champions
100411,8,12,163856.72999999998,3,3,4,10,334,Potential
100412,10,12,167170.84,2,3,4,9,234,Potential
100413,1,11,134908.52,5,3,3,11,533,Loyal
100414,9,8,100201.42,2,1,2,5,212,At Risk
100415,7,12,168314.46,3,3,4,10,334,Potential
100416,10,5,52197.66,2,1,1,4,211,At Risk
100417,3,18,211560.33,4,5,5,14,455,Champions
100418,6,20,237259.81,3,5,5,13,355,Champions
100419,11,6,58462.420000000006,2,1,1,4,211,At Risk
100420,10,11,151962.53,2,3,4,9,234,Potential
100421,10,11,165420.91,2,3,4,9,234,Potential
100422,3,12,160128.3,4,3,4,11,434,Loyal
100423,46,5,61231.29,1,1,1,3,111,At Risk
100424,10,11,181907.12,2,3,5,10,235,Potential
100425,15,14,183650.49,1,4,5,10,145,Potential
100426,3,11,130900.58,4,3,3,10,433,Potential
100427,18,5,44413.57,1,1,1,3,111,At Risk
100428,2,10,81186.4,5,2,1,8,521,Needs Attention
100429,2,6,54220.34,5,1,1,7,511,Needs Attention
100430,9,12,137584.07,2,3,3,8,233,Needs Attention
100431,32,10,124728.85,1,2,3,6,123,At Risk
100432,2,13,145092.27,5,4,3,12,543,Loyal
100433,1,13,147101.24,5,4,4,13,544,Champions
100434,6,14,170923.75,3,4,4,11,344,Loyal
100435,23,9,92575.49,1,2,1,4,121,At Risk
100436,22,7,91470.64,1,1,1,3,111,At Risk
100437,6,8,85206.53,3,1,1,5,311,At Risk
100438,2,12,152930.7,5,3,4,12,534,Loyal
100439,6,11,129330.43,3,3,3,9,333,Potential
100440,8,11,140593.33000000002,3,3,3,9,333,Potential
100441,7,8,81473.49,3,1,1,5,311,At Risk
100442,2,8,85020.76,5,1,1,7,511,Needs Attention
100443,3,12,161654.07,4,3,4,11,434,Loyal
100444,10,12,109469.81,2,3,2,7,232,Needs Attention
100445,9,6,71184.99,2,1,1,4,211,At Risk
100446,7,14,171964.25,3,4,4,11,344,Loyal
100447,12,10,109416.64,2,2,2,6,222,At Risk
100448,8,13,192023.65,3,4,5,12,345,Loyal
100449,3,16,203450.3,4,5,5,14,455,Champions
100450,9,10,109040.95,2,2,2,6,222,At Risk
100451,3,5,62538.130000000005,4,1,1,6,411,At Risk
100452,1,7,88693.41,5,1,1,7,511,Needs Attention
100453,9,14,191956.63,2,4,5,11,245,Loyal
100454,10,10,115770.42,2,2,2,6,222,At Risk
100455,6,22,304261.62,3,5,5,13,355,Champions
100456,2,15,168356.01,5,5,4,14,554,Champions
100457,6,15,149773.25,3,5,4,12,354,Loyal
100458,1,9,112751.23,5,2,2,9,522,Potential
100459,18,13,145362.9,1,4,3,8,143,Needs Attention
100460,27,9,144923.6,1,2,3,6,123,At Risk
100461,2,14,155599.22,5,4,4,13,544,Champions
100462,3,11,162716.66,4,3,4,11,434,Loyal
100463,2,15,188164.2,5,5,5,15,555,Champions
100464,23,8,98424.85,1,1,2,4,112,At Risk
100465,4,18,197027.95,4,5,5,14,455,Champions
100466,43,5,66809.53,1,1,1,3,111,At Risk
100467,2,7,70960.4,5,1,1,7,511,Needs Attention
100468,21,12,111049.25,1,3,2,6,132,At Risk
100469,13,11,138657.5,2,3,3,8,233,Needs Attention
100470,5,7,106530.5,4,1,2,7,412,Needs Attention
100471,8,10,125563.45,3,2,3,8,323,Needs Attention
100472,1,12,128295.88,5,3,3,11,533,Loyal
100473,30,7,69075.43,1,1,1,3,111,At Risk
100474,9,13,145008.74,2,4,3,9,243,Potential
100475,20,7,90053.59,1,1,1,3,111,At Risk
100476,3,11,130251.59,4,3,3,10,433,Potential
100477,3,20,276154.47,4,5,5,14,455,Champions
100478,16,12,139499.35,1,3,3,7,133,Needs Attention
100479,2,12,144240.62,5,3,3,11,533,Loyal
100480,29,6,66255.03,1,1,1,3,111,At Risk
100481,4,8,87062.72,4,1,1,6,411,At Risk
100482,8,10,138047.6,3,2,3,8,323,Needs Attention
100483,8,9,107091.96,3,2,2,7,322,Needs Attention
100484,6,9,74946.05,3,2,1,6,321,At Risk
100485,16,10,84845.35,1,2,1,4,121,At Risk
100486,7,6,118796.26,3,1,2,6,312,At Risk
100487,8,14,147809.04,3,4,4,11,344,Loyal
100488,2,20,248578.51,5,5,5,15,555,Champions
100489,3,18,293489.13,4,5,5,14,455,Champions
100490,3,13,189385.97,4,4,5,13,445,Champions
100491,2,11,112126.96,5,3,2,10,532,Potential
100492,20,16,179983.84,1,5,5,11,155,Loyal
100493,1,13,157344.47,5,4,4,13,544,Champions
100494,10,8,94627.14,2,1,1,4,211,At Risk
100495,4,14,168138.66999999998,4,4,4,12,444,Loyal
100496,2,13,136568.35,5,4,3,12,543,Loyal
100497,13,12,191152.06,2,3,5,10,235,Potential
100498,7,11,98621.7,3,3,2,8,332,Needs Attention
100499,6,14,179538.88,3,4,5,12,345,Loyal
100500,8,10,110859.93,3,2,2,7,322,Needs Attention
100501,4,13,176255.24,4,4,5,13,445,Champions
100502,2,11,158821.17,5,3,4,12,534,Loyal
100503,25,7,122635.72,1,1,3,5,113,At Risk
100504,2,12,163795.83,5,3,4,12,534,Loyal
100505,37,5,82136.2,1,1,1,3,111,At Risk
100506,3,10,96585.34,4,2,1,7,421,Needs Attention
100507,10,12,131388.17,2,3,3,8,233,Needs Attention
100508,1,7,94862.21,5,1,1,7,511,Needs Attention
100509,22,15,190517.19,1,5,5,11,155,Loyal
