id,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class,TransactionDate,Hour,DayOfWeek,DayOfMonth,Month,WeekOfYear,CustomerID,Cluster,Cluster_Name,RFM_Segment,RFM_Score,ZScore,ZScore_Anomaly_2.5,ZScore_Anomaly_3,ZScore_Anomaly_3.5,ZScore_Anomaly_4,ZScore_Anomaly,Isolation_Anomaly_0.001,Isolation_Score_0.001,Isolation_Anomaly_0.002,Isolation_Score_0.002,Isolation_Anomaly_0.005,Isolation_Score_0.005,Isolation_Anomaly_0.01,Isolation_Score_0.01,Isolation_Anomaly_0.02,Isolation_Score_0.02,Isolation_Anomaly,Isolation_Score,ZScore_Normalized,Isolation_Score_Normalized,Combined_Score,Combined_Anomaly_0.1,Combined_Anomaly_0.2,Combined_Anomaly_0.3,Combined_Anomaly_0.4,Combined_Anomaly_0.5,Combined_Anomaly_0.6,Combined_Anomaly_0.7,Combined_Anomaly_0.8,Final_Anomaly,Risk_Score,Risk_Level
182021,-2.097411532201246,0.6014664553276083,-1.4055115319508824,-1.5144573045818,-2.2930223081917545,0.0477314201163287,-0.9289704821132372,2.775710804709356,-0.0657680652215759,1.604528190335376,-4.955669880481854,4.536622408174185,2.8548102748123307,7.410556120065394,0.5779270300049869,5.536173045131422,2.2928456985324432,1.4706607687517148,-2.474142691203152,-0.4580936871711271,-0.1031415071454958,-1.0597515517146934,-2.813764511432104,0.289188015319829,2.2128208488999794,-0.2592336843741962,-0.4311311758463526,-1.1544845591585593,23922.25,0,2024-02-24 13:41:00,13,5,24,2,8,101957,2,Standard Customers (High Tier),Potential,10,7.4105561200653955,True,True,True,True,True,True,0.006758673063014586,True,0.024674742329065413,True,0.059315823911986976,True,0.06873375344910437,True,0.10006181927303193,True,0.10006181927303193,0.03268546122570617,0.8733131552388599,0.5370620776335984,True,True,True,True,True,False,False,False,True,0.6128371082266157,High
206255,-2.996041457433092,-23.644881735058974,-2.021203161232257,2.101346644938858,-2.6387711826875164,4.498949810895272,17.720771871054804,-1.337758004386269,6.44687081270666,2.414759115661321,0.6820075602779129,1.8215905963364507,4.043836760458736,0.0154367751147576,7.582935903000525,9.454842941470346,-0.0299215039064921,-1.028828354104904,-0.1381526429601688,-20.10651005816053,-3.5666051934530425,-3.061249779771429,-14.967025853892991,3.680397475499301,-6.047891790044846,-2.2303376113928777,0.2220633573042684,-2.976353642639672,20238.02,0,2024-02-26 01:18:00,1,0,26,2,9,144530,0,Premium Customers (High Tier),Champions,13,23.644881735058974,True,True,True,True,True,True,0.021342357785110178,True,0.039258427051161005,True,0.07389950863408257,True,0.08331743817119996,True,0.11464550399512752,True,0.11464550399512752,0.10730065638492473,0.9147522680304727,0.5917716233722534,True,True,True,True,True,False,False,False,True,0.6273260867388765,High
216065,-1.5710802112375517,-9.905958361200002,-1.2834880140758702,0.9121547711684556,-2.7630168712158154,5.393246262089518,25.955521658925537,-0.7116200764772939,-1.0814702383813333,-0.8835621625596692,-2.482439951307875,-0.4798665029739474,-0.1677832329244243,1.966238440608245,0.812065812805524,0.7478373993037596,0.2089176681920601,3.626215100368182,-0.7549322273635228,12.529317678227263,1.446206636837544,0.4299284906399214,21.17566596947843,-1.9145183764186195,6.471111093952066,-0.6215443864849672,-2.3236825146364857,0.9052596992455088,20110.02,0,2024-03-18 02:46:00,2,0,18,3,12,120895,2,Standard Customers (High Tier),Potential,9,25.95552165892555,True,True,True,True,True,False,-0.0007379421859484703,True,0.017178127080102357,True,0.05181920866302392,True,0.06123713820014132,True,0.09256520402406887,True,0.09256520402406887,0.11792067553143948,0.8520117426825093,0.5583753158220813,True,True,True,True,True,False,False,False,True,0.6010006818938128,High
219776,-2.8401696185311143,-19.8490150888954,-1.5159932485604348,1.7975346066755071,-0.4874393655472223,1.2686079052768762,4.510607532287613,-0.94180916470636,5.181407851011143,2.315798754533411,0.4787183336252414,2.4611920172653687,3.304130546900424,0.1326331393830989,6.291118681758268,7.041674019673932,0.1218173248288161,-0.9811597385146632,1.3355446157827875,-26.94700813814076,-3.382619991285401,-1.668701273028725,-5.926252874890419,1.307847871815692,1.097890890477096,0.3073644547466565,-4.152011419408283,35.64296655141004,22130.28,0,2024-02-10 22:09:00,22,5,10,2,6,142373,4,New Customers (Low Tier),Needs Attention,8,19.8490150888954,True,True,True,True,True,False,-0.005264158979000344,True,0.012651910287050483,True,0.047292991869972045,True,0.05671092140708944,True,0.088038987231017,True,0.088038987231017,0.08985433078330683,0.8391506302969409,0.5394321104914873,True,True,True,True,True,False,False,False,True,0.602518031979336,High
229859,-2.024000991752692,-11.773082060792795,-0.595160951177781,0.7955141016804033,5.730515205624936,-3.8283837162051424,-0.6025321309313574,-0.91930639959469,3.5933390213733887,3.502384210259526,0.1751219317766772,1.5596332949521068,1.371676601257917,0.0905704526499679,1.4103296528223392,5.490270208303344,0.1486457944390726,-1.0283070426228185,2.1974599665734047,-24.16381704029445,-3.017225003516527,-0.5147571257693625,-10.404473094700672,3.754219964885828,-6.498084929065101,-0.7167066628345915,23.720241858183925,-9.444887595372789,21269.01,0,2024-03-13 17:34:00,17,2,13,3,11,110156,0,Premium Customers (High Tier),Champions,14,11.773082060792795,True,True,True,True,True,True,0.010367086927669411,True,0.028283156193720238,True,0.0629242377766418,True,0.0723421673137592,True,0.10367023313768675,True,0.10367023313768675,0.05273623094501595,0.8835663574977993,0.551234306876686,True,True,True,True,True,False,False,False,True,0.6030919569916046,High
236429,-2.7628975695726834,-30.22487898719505,-0.9289658735608648,2.011548724547993,33.31792711864471,-15.51196137149144,-2.2865297892644483,0.2892420209161758,1.7302609672141696,2.2767996612773174,-0.2859619075190692,4.364590934611784,2.0125005369405047,3.277061699065209,1.5149142685495731,1.2097449757367205,0.8459649404409345,-0.4897809829616196,-0.8103200661852442,5.515722526810577,0.8069576022504319,-1.3407086905523056,-3.383516586447364,-0.0987535951216125,-2.9099831611125504,-1.0993122928941246,0.7613261272042835,-4.497265560584496,15360.54,0,2024-02-26 20:30:00,20,0,26,2,9,147145,1,Standard Customers (Mid Tier),At Risk,6,30.22487898719505,True,True,True,True,True,True,0.026161688074826106,True,0.04407775734087693,True,0.0787188389237985,True,0.08813676846091589,True,0.11946483428484345,True,0.11946483428484345,0.13754322948336073,0.928446253827697,0.6120850440899624,True,True,True,True,True,True,False,False,True,0.6029228757225936,High
256077,-1.137250508392054,1.567619488016561,-0.8281106219395454,-0.310585424114721,-0.3490247660181601,3.276281919964753,-2.102090129718365,-6.291855215137264,-1.1926237845023049,-1.347573979915896,-1.4022047630400387,6.511115928033628,-2.172168725944557,4.194009341883793,-0.5171288314714092,3.9108394786211393,2.4319357881396533,2.036230638203976,-3.258124124043878,8.086699989381525,-9.748262421604734,7.735201687618557,3.546920404411044,-0.7351387606711208,-1.3619617741526566,-0.9115197504954184,-0.5250448286885948,2.196964172738339,23985.08,0,2024-03-19 18:27:00,18,1,19,3,12,120401,5,New Customers (Mid Tier),Potential,9,6.511115928033629,True,True,True,True,True,False,-0.0013709625170330586,True,0.01654510674901777,True,0.05118618833193933,True,0.06060411786905673,True,0.09193218369298428,True,0.09193218369298428,0.028551510296416407,0.8502130339611493,0.5215484244952562,True,True,True,True,True,False,False,False,True,0.6008055091229103,High
270313,-1.1071199468020518,-5.139190477205418,2.0454813313277374,-1.8556743765097845,5.233957918907821,-3.4248016504335257,-0.8828712751002714,0.110916447633382,2.198101340396893,0.2578697723440006,-0.9017037691461744,2.090458951479496,-0.4535038128543535,0.5691360498539291,-1.2986435922685446,-0.378525004600153,0.3729356465206423,2.6772732467538054,-0.5306486773098219,1.3491534032769132,0.0671268916628581,-0.5216915031772587,1.5571845637878676,-0.8069346339195744,0.3934258404991687,-2.852953342953917,-0.3221216966144351,0.6666555813703785,22685.41,0,2024-02-22 08:10:00,8,3,22,2,8,144795,5,New Customers (Mid Tier),Loyal,11,5.139190477205418,True,True,True,True,True,True,0.007201141298022962,True,0.02511721056407379,True,0.05975829214699535,True,0.06917622168411275,True,0.1005042875080403,True,0.1005042875080403,0.0222459520807488,0.8745704157629741,0.533640630290084,True,True,True,True,True,False,False,False,True,0.6004889798839269,High
274771,-2.834567409485116,-19.01867360355123,-3.1837603416948093,2.94514143151216,-9.952785617741023,26.168402294404643,217.873038474627,-4.615072787110634,-1.1548159506563591,-1.7678913580067177,1.5588699146624558,-1.288930861996565,7.187485954748435,-0.8943789247884936,14.532202180325108,46.6529060440468,-0.8408014286573448,-0.6039999749746869,3.7723834437278327,-78.14783856605457,-11.485194596744533,6.375432621757893,-1.506217915817449,12.965638661146754,8.438666927649509,5.495680820469381,113.23109281324442,-39.03524318743944,18796.41,0,2024-03-06 22:36:00,22,2,6,3,10,147373,2,Standard Customers (High Tier),Loyal,11,217.87303847462712,True,True,True,True,True,False,-0.017993283893006917,False,-7.721462695609027e-05,True,0.03456386695596547,True,0.04398179649308287,True,0.07530986231701042,True,0.07530986231701042,1.0,0.8029811948557825,0.8817887169134695,True,True,True,True,True,True,True,True,True,0.8673154821909026,Critical
282467,-1.5929022845288632,1.885742850067302,-1.128207615188468,-1.1875843382737443,-1.18698632451759,-1.129517971471974,-0.6913656185716233,1.81905026977758,2.1969488557915926,3.2338001106887786,-3.436898172311105,3.475001846750896,0.1808843419127677,5.314531445106888,0.3756075902790415,1.3615152972895428,1.480925269674788,0.6127768464230413,-0.9822073945688692,0.9311036596896348,0.0242390787538051,0.4653962138081946,1.0914410491448991,-0.1574837881999691,1.333004911596573,-0.1920145766326157,0.6625786441072944,2.053866885439008,22085.91,0,2024-02-15 06:29:00,6,3,15,2,7,132940,2,Standard Customers (High Tier),Potential,10,5.314531445106889,True,True,True,True,True,True,0.011512083288618191,True,0.029428152554669018,True,0.06406923413759058,True,0.07348716367470798,True,0.10481522949863553,True,0.10481522949863553,0.023051843304668276,0.886819831105567,0.5413126359852075,True,True,True,True,True,False,False,False,True,0.6013601824573249,High
282881,-1.8747988208707536,2.501717325997717,-1.4192821600132994,-1.250740147261031,-1.5994117875280005,-1.4782656215069925,-1.0735287945103993,2.762647778345478,2.339941501351995,3.7664832549421208,-4.577346227140253,5.754014610747725,0.6219617052331967,8.345312257370727,0.1758418169681824,2.143289632210858,2.1648197861016185,0.738349626028472,-1.217541228242318,1.069880166422696,0.0596889025794515,0.2358611329744299,1.598942204601829,-0.2193382573737468,2.269848664343547,-0.0825070822863943,0.4499057065196352,2.0233927142204267,17887.12,0,2024-03-12 10:16:00,10,1,12,3,11,140542,5,New Customers (Mid Tier),Potential,10,8.345312257370729,True,True,True,True,True,True,0.04166440771711488,True,0.05958047698316571,True,0.09422155856608727,True,0.10363948810320467,True,0.13496755392713222,True,0.13496755392713222,0.03698172910066479,0.9724967774145264,0.5982907580889817,True,True,True,True,True,False,False,False,True,0.6102257758137228,High
284819,-2.548267871856242,4.301121822441019,-2.33989429518539,2.3343209551590207,-2.891054639311099,3.433053913305143,-4.269718021694368,-6.375827934928859,-3.740570883722736,-3.153170505164034,0.7296833378307988,-1.3102053893871644,-3.076326356590259,0.9996929118555024,-2.3558248275276643,-1.2274581937867757,-1.47464974512707,-1.6128484801828549,-0.6859971303843091,9.004968346773744,-11.726838513564202,9.744920696392532,6.142345334736683,0.1642736740068215,-2.3832959661345674,-0.1197288329213605,-4.09623059270578,-0.8142432673288931,23244.73,1,2024-01-08 20:23:00,20,0,8,1,2,102050,5,New Customers (Mid Tier),Loyal,12,4.301121822441019,True,True,True,True,True,True,0.005885244039354753,True,0.02380131330540558,True,0.05844239488832714,True,0.06786032442544454,True,0.0991883902493721,True,0.0991883902493721,0.01839407318444799,0.8708313322622516,0.5298564286311301,True,True,True,True,True,False,False,False,True,0.6021592660996664,High
289276,-2.520676228517248,4.180065967871576,-2.3058743038472307,2.306026081897127,-2.814132419343714,3.194681913643329,-4.149540663664761,-6.002591538707993,-3.657321278317181,-3.125258153102588,0.7397137748813729,-1.3467314853708814,-3.029512972527711,0.4779072686968571,-2.840562208688396,-1.291083614834309,-1.4699264734604145,-1.642981020676452,-0.5914146201501048,8.43871994724118,-10.923182098489727,9.15357466009717,5.505089403315532,0.2121109954583006,-2.156954444508029,-0.0544614371594784,-3.992303496726204,-0.6595274827937117,23309.66,1,2024-03-16 23:46:00,23,5,16,3,11,147866,5,New Customers (Mid Tier),Loyal,11,4.180065967871576,True,True,True,True,True,True,0.007241024944179886,True,0.025157094210230713,True,0.059798175793152275,True,0.06921610533026967,True,0.10054417115419723,True,0.10054417115419723,0.017837683813674083,0.8746837439748171,0.5319453199103599,True,True,True,True,True,False,False,False,True,0.6042878026348549,High
309135,-2.5247974324069835,4.196191419864929,-2.308699484498289,2.310313642247889,-2.820057868476028,3.229971624285908,-4.161850894652961,-6.056911651922395,-3.67785020223612,-3.129625047606614,0.735622951670672,-1.343314136939092,-3.0462825569194263,0.544611026043591,-2.79103677121015,-1.291305618588076,-1.4702631255312573,-1.6412873592483417,-0.556605596873371,8.515639566786646,-11.023614179692308,9.286571784045094,5.574563676285703,0.2154260812469887,-2.203534886862689,-0.0350763834783781,-4.001475657217602,-0.6348728449827163,23488.64,1,2024-02-21 03:39:00,3,2,21,2,8,106988,1,Standard Customers (Mid Tier),At Risk,4,4.196191419864929,True,True,True,True,True,True,0.009042405760308125,True,0.026958475026358952,True,0.061599556609280515,True,0.07101748614639791,True,0.10234555197032547,True,0.10234555197032547,0.01791179861068194,0.8798023147779207,0.5350461083110252,True,True,True,True,True,False,False,False,True,0.608171493172594,High
309201,-2.5269573394251763,4.204652192009841,-2.3101811579044003,2.312563445877152,-2.823166159747878,3.248473599877718,-4.168305468269878,-6.08540022654452,-3.688609416465068,-3.131916262367941,0.7334725280092229,-1.341516474082849,-3.0550871254165592,0.5817180205552458,-2.7649581742078664,-1.2914221608124932,-1.470439854377215,-1.6403977643123209,-0.5383856086190922,8.555993885694797,-11.076379589561204,9.356492727225556,5.611075091607816,0.2171672319569544,-2.227957572385717,-0.0249246639540452,-4.006286794026481,-0.6219307645978615,23290.02,1,2024-01-27 20:17:00,20,5,27,1,4,125503,2,Standard Customers (High Tier),Loyal,11,4.204652192009841,True,True,True,True,True,True,0.009493513223375993,True,0.02740958248942682,True,0.06205066407234838,True,0.07146859360946578,True,0.10279665943339333,True,0.10279665943339333,0.017950685484073664,0.8810841234154103,0.5358307482428756,True,True,True,True,True,False,False,False,True,0.6071053650204156,High
316954,-2.53494321789371,4.235991126067563,-2.3156653881741427,2.320897885657128,-2.83467515828538,3.3169233856727347,-4.192187063473238,-6.190850293523375,-3.728390622459009,-3.140402805810921,0.7254830020026323,-1.3348299122888567,-3.0877343551800407,0.7353078412228803,-2.667790647621922,-1.291854196848191,-1.471095017199234,-1.637096937192141,-0.4711711404072438,8.705443252765322,-11.272243728401824,9.616312467673657,5.74666845586338,0.2236271472630983,-2.318318449166452,0.0125603717277944,-4.0240992673736935,-0.5739561570674613,23196.72,1,2024-01-16 09:51:00,9,1,16,1,3,131619,0,Premium Customers (High Tier),Champions,15,4.235991126067563,True,True,True,True,True,True,0.005885244039354753,True,0.02380131330540558,True,0.05844239488832714,True,0.06786032442544454,True,0.0991883902493721,True,0.0991883902493721,0.018094723538764346,0.8708313322622516,0.5297366887728567,True,True,True,True,True,False,False,False,True,0.6016540645556958,High
348682,-2.537292097071564,4.245225824671738,-2.317280254669992,2.323354135937686,-2.838065272195925,3.337069418955468,-4.199216420972009,-6.221902106015749,-3.740091800471088,-3.142903491033242,0.723121384371694,-1.3328511201417883,-3.097365020510085,0.7863660842783248,-2.6389831613649544,-1.2919816135828937,-1.4712882411613777,-1.6361225507431063,-0.4514498146836829,8.74947477456782,-11.330084954366807,9.693122128249392,5.786729885572519,0.2255338967865917,-2.3449154338950824,0.0235705854788551,-4.029345663007358,-0.5598084142299286,23859.19,1,2024-03-05 22:39:00,22,1,5,3,10,143033,0,Premium Customers (High Tier),Champions,15,4.245225824671738,True,True,True,True,True,True,0.005885244039354753,True,0.02380131330540558,True,0.05844239488832714,True,0.06786032442544454,True,0.0991883902493721,True,0.0991883902493721,0.01813716748469276,0.8708313322622516,0.5297536663512281,True,True,True,True,True,False,False,False,True,0.6067490497854313,High
368011,-2.5182068937125788,4.155267229748343,-2.292466058946058,2.2809861100588944,-2.817891356743941,3.187283843516,-4.138452884861377,-5.978803626472857,-3.683770685788599,-3.0949148601456486,0.7146731523370479,-1.3452175725399813,-2.922335201176977,0.8320475631748211,-2.633335306916796,-1.3101078970064968,-1.5279928435774812,-1.6848290875929983,-0.5327440908055452,8.37618762412767,-10.805803179765949,9.384273397351809,5.507916393960247,0.32131065672738,-2.3882422810682504,-0.088616156802489,-3.988190864160946,-0.5872139601803732,23747.0,1,2024-02-01 04:41:00,4,3,1,2,5,125189,2,Standard Customers (High Tier),Loyal,11,4.155267229748343,True,True,True,True,True,True,0.0066703769674930635,True,0.02458644623354389,True,0.05922752781646545,True,0.06864545735358285,True,0.0999735231775104,True,0.0999735231775104,0.017723705399747335,0.8730622644707791,0.5309268408423663,True,True,True,True,True,False,False,False,True,0.6071780885454704,High
