CustomerID,Transaction_Count,Total_Spent,Avg_Amount,Std_Amount,Min_Amount,Max_Amount,Fraud_Count,Fraud_Rate,Customer_Value
100053,8,68794.26,8599.28,4777.54,3591.51,16800.21,2,0.25,Low
100054,6,86698.66,14449.78,5226.56,8079.31,23995.22,3,0.5,Low
100055,15,196832.35,13122.16,6379.18,2289.53,23137.9,7,0.4667,VIP
100056,12,159077.09,13256.42,7663.63,1678.76,22461.31,5,0.4167,High
100057,5,68926.32,13785.26,2173.92,10781.77,15882.22,2,0.4,Low
100058,10,106959.33,10695.93,6169.03,155.62,22135.18,7,0.7,Medium
100059,14,166267.09,11876.22,5784.38,2918.07,20772.92,8,0.5714,High
100060,10,111349.31,11134.93,7077.6,117.21,21650.34,5,0.5,Medium
100061,16,209761.61,13110.1,7043.3,1146.93,23995.68,9,0.5625,VIP
100062,9,112318.66,12479.85,7163.44,2273.06,23654.18,2,0.2222,Medium
100063,14,146899.47,10492.82,6557.81,2071.76,20752.85,8,0.5714,High
100064,7,49301.12,7043.02,5048.91,823.06,13675.26,2,0.2857,Low
100065,11,145866.53,13260.59,5829.11,1808.76,20397.4,5,0.4545,High
100066,17,145294.55,8546.74,4828.55,931.37,21025.29,8,0.4706,High
100067,12,136878.99,11406.58,7384.05,310.54,22728.6,5,0.4167,High
100068,15,149342.3,9956.15,6010.3,84.03,23278.97,4,0.2667,High
100069,21,243419.86,11591.42,6934.65,862.46,23925.18,7,0.3333,VIP
100070,9,110869.52,12318.84,7887.62,2144.49,23741.26,6,0.6667,Medium
100071,16,209799.58,13112.47,8068.74,401.79,22996.31,11,0.6875,VIP
100072,6,62003.7,10333.95,7717.6,601.38,18601.71,3,0.5,Low
100073,12,180271.0,15022.58,7018.33,2960.77,23882.75,7,0.5833,VIP
100074,10,89866.76,8986.68,5899.9,810.32,20276.86,7,0.7,Low
100075,12,121562.92,10130.24,6854.42,1393.76,22284.34,7,0.5833,Medium
100076,12,132003.13,11000.26,6347.12,1702.46,19331.76,8,0.6667,Medium
100077,10,148929.65,14892.96,6228.08,5987.73,23890.81,4,0.4,High
100078,13,210462.15,16189.4,6186.92,1578.85,22370.9,8,0.6154,VIP
100079,12,177221.33,14768.44,7526.98,2952.98,23371.16,7,0.5833,VIP
100080,10,150190.41,15019.04,5502.51,6976.74,21363.41,5,0.5,High
100081,7,64711.4,9244.49,6829.95,1479.63,21999.56,3,0.4286,Low
100082,12,85959.51,7163.29,5383.18,1237.9,21269.8,3,0.25,Low
100083,6,66654.87,11109.14,6589.65,6247.54,23509.3,2,0.3333,Low
100084,17,154516.35,9089.2,6274.28,94.67,19285.35,6,0.3529,High
100085,10,140629.45,14062.95,6793.35,2281.78,23124.4,4,0.4,High
100086,7,97347.21,13906.74,9550.13,470.04,23572.17,3,0.4286,Low
100087,6,81127.09,13521.18,8282.47,500.39,21348.89,3,0.5,Low
100088,8,125764.9,15720.61,7003.17,1990.13,23188.49,6,0.75,Medium
100089,18,253617.49,14089.86,7091.9,1143.57,23377.84,16,0.8889,VIP
100090,12,164793.23,13732.77,7092.52,382.09,21224.05,5,0.4167,High
100091,12,119692.25,9974.35,6132.31,2419.28,21400.34,6,0.5,Medium
100092,10,150848.23,15084.82,6532.1,1720.01,23934.86,4,0.4,High
100093,9,115639.8,12848.87,6167.67,1647.68,20447.64,3,0.3333,Medium
100094,11,166591.07,15144.64,5532.23,3395.36,23147.48,6,0.5455,VIP
100095,13,160083.13,12314.09,7413.64,900.65,22258.06,9,0.6923,High
100096,10,144276.53,14427.65,6680.88,1024.49,21513.09,7,0.7,High
100097,11,137984.44,12544.04,5345.28,4688.24,23783.13,6,0.5455,High
100098,10,143726.07,14372.61,6957.85,4231.76,23433.04,5,0.5,High
100099,10,121480.65,12148.06,6875.2,2085.65,21711.47,4,0.4,Medium
100100,12,134514.01,11209.5,6095.56,3734.09,23864.21,2,0.1667,High
100101,6,97841.67,16306.94,6086.72,7754.21,23697.17,3,0.5,Low
100102,7,63432.37,9061.77,5949.03,2191.81,18739.77,3,0.4286,Low
100103,9,105005.46,11667.27,5834.91,2797.51,20844.9,4,0.4444,Medium
100104,19,271728.01,14301.47,6677.02,1709.27,23576.7,9,0.4737,VIP
100105,14,174447.81,12460.56,8586.74,725.59,23988.64,8,0.5714,VIP
100106,13,138878.56,10682.97,6172.47,661.55,20534.84,9,0.6923,High
100107,13,173118.17,13316.78,6291.94,972.75,22630.83,6,0.4615,VIP
100108,12,206703.94,17225.33,5206.31,10052.36,23794.72,8,0.6667,VIP
100109,19,241533.11,12712.27,7710.46,484.29,23123.33,9,0.4737,VIP
100110,10,133279.04,13327.9,4420.84,8715.39,23413.57,8,0.8,Medium
100111,13,155579.32,11967.64,7687.51,237.03,23111.11,5,0.3846,High
100112,9,106155.93,11795.1,7827.98,2078.61,21316.88,6,0.6667,Medium
100113,8,120840.53,15105.07,8414.21,1014.5,23240.57,3,0.375,Medium
100114,11,139759.36,12705.4,7307.56,1875.92,23392.08,5,0.4545,High
100115,12,140405.95,11700.5,9259.23,958.65,23925.64,8,0.6667,High
100116,5,61895.48,12379.1,6654.92,7296.19,23533.49,3,0.6,Low
100117,4,48039.76,12009.94,7389.75,4601.23,21761.7,2,0.5,Low
100118,10,118140.07,11814.01,6446.48,3267.06,22737.85,3,0.3,Medium
100119,7,84977.23,12139.6,8142.64,2365.37,22718.67,5,0.7143,Low
100120,14,126998.32,9071.31,6264.58,244.69,19315.01,8,0.5714,Medium
100121,17,227506.94,13382.76,6708.74,1199.06,23246.95,9,0.5294,VIP
100122,12,160666.03,13388.84,6760.59,2707.34,23570.14,7,0.5833,High
100123,4,56688.79,14172.2,9562.22,5762.16,23708.48,0,0.0,Low
100124,9,93329.01,10369.89,7471.62,1832.43,21011.36,5,0.5556,Low
100125,19,224675.19,11825.01,7984.68,164.05,22277.43,6,0.3158,VIP
100126,8,80869.45,10108.68,7167.31,1061.68,22383.75,2,0.25,Low
100127,10,133851.0,13385.1,6356.81,2401.33,22408.58,7,0.7,Medium
100128,6,54881.05,9146.84,5712.24,2022.64,16511.98,6,1.0,Low
100129,9,62631.69,6959.08,5151.03,87.46,13863.88,3,0.3333,Low
100130,7,104863.99,14980.57,6256.71,6444.95,21637.72,4,0.5714,Medium
100131,16,179727.08,11232.94,5824.18,206.59,18884.43,12,0.75,VIP
100132,9,120324.57,13369.4,5733.71,5955.58,23234.57,5,0.5556,Medium
100133,14,191351.03,13667.93,6383.54,1758.4,21507.48,7,0.5,VIP
100134,12,167089.22,13924.1,8463.96,99.82,23241.44,5,0.4167,VIP
100135,8,86587.97,10823.5,7106.15,1152.84,23036.16,4,0.5,Low
100136,15,166434.58,11095.64,8819.47,534.7,23516.8,8,0.5333,VIP
100137,14,173993.0,12428.07,7533.14,85.99,23254.05,6,0.4286,VIP
100138,15,141648.2,9443.21,7533.65,570.74,21921.69,5,0.3333,High
100139,8,109824.73,13728.09,6974.77,2763.81,23850.12,6,0.75,Medium
100140,12,109611.22,9134.27,6999.99,207.79,17759.9,8,0.6667,Medium
100141,8,102034.77,12754.35,7124.99,2424.38,21964.78,3,0.375,Low
100142,3,13023.43,4341.14,3478.32,384.1,6915.55,1,0.3333,Low
100143,9,85570.24,9507.8,8361.34,1170.62,22031.64,3,0.3333,Low
100144,9,101201.77,11244.64,7190.15,1978.68,23020.86,6,0.6667,Low
100145,14,144652.67,10332.33,6779.09,1438.07,22521.96,3,0.2143,High
100146,8,58909.07,7363.63,6377.91,997.21,16654.05,5,0.625,Low
100147,12,174336.27,14528.02,7589.62,1254.05,24001.79,7,0.5833,VIP
100148,10,145004.16,14500.42,8789.56,179.95,23841.59,5,0.5,High
100149,10,142344.09,14234.41,7650.33,2671.92,23986.91,6,0.6,High
100150,11,127488.66,11589.88,6548.78,454.05,23138.61,7,0.6364,Medium
100151,10,114439.78,11443.98,4762.04,3568.8,18680.35,3,0.3,Medium
100152,13,212242.75,16326.37,5299.22,6653.69,23045.12,7,0.5385,VIP
100153,13,176354.71,13565.75,7730.87,1489.04,23813.88,7,0.5385,VIP
100154,13,157306.08,12100.47,6344.69,2956.98,21958.85,7,0.5385,High
100155,10,94671.15,9467.12,7963.51,452.05,19299.75,4,0.4,Low
100156,10,106958.87,10695.89,7534.94,763.73,22149.23,4,0.4,Medium
100157,11,136866.14,12442.38,6304.53,3636.57,20148.24,5,0.4545,High
100158,11,107180.3,9743.66,8849.76,89.92,23906.56,6,0.5455,Medium
100159,14,170376.84,12169.77,8416.46,912.26,23779.65,5,0.3571,VIP
100160,15,197194.98,13146.33,5330.03,4122.51,23876.46,4,0.2667,VIP
100161,15,200651.09,13376.74,6556.05,2965.32,23181.06,7,0.4667,VIP
100162,10,155707.46,15570.75,5886.9,7027.44,22919.95,6,0.6,High
100163,13,150115.74,11547.36,6898.83,350.22,21286.09,2,0.1538,High
100164,11,98169.54,8924.5,6682.15,1711.91,20138.75,6,0.5455,Low
100165,13,176966.82,13612.83,7848.9,238.59,23985.36,9,0.6923,VIP
100166,14,164955.96,11782.57,6797.4,477.88,23394.64,6,0.4286,High
100167,11,148752.96,13523.0,7778.74,460.51,22840.74,7,0.6364,High
100168,14,156605.2,11186.09,6988.39,539.45,23948.22,5,0.3571,High
100169,14,154501.38,11035.81,6500.49,2438.25,23270.2,6,0.4286,High
100170,15,154903.22,10326.88,7362.28,324.3,23375.06,9,0.6,High
100171,9,97355.9,10817.32,6831.56,777.27,21338.02,6,0.6667,Low
100172,13,159597.74,12276.75,7841.44,2030.82,23976.93,10,0.7692,High
100173,13,179145.07,13780.39,6677.72,3852.94,22521.6,6,0.4615,VIP
100174,14,143287.45,10234.82,5345.59,1883.23,19825.34,10,0.7143,High
100175,9,105917.1,11768.57,7359.83,1869.35,23467.34,4,0.4444,Medium
100176,9,89859.56,9984.4,8109.4,1744.62,22540.82,6,0.6667,Low
100177,17,160033.64,9413.74,5948.83,265.47,20543.78,9,0.5294,High
100178,14,166798.78,11914.2,6494.12,51.7,22240.1,6,0.4286,VIP
100179,12,153059.35,12754.95,8163.96,400.79,23928.37,4,0.3333,High
100180,7,99035.19,14147.88,8635.41,518.8,20886.65,5,0.7143,Low
100181,13,135268.44,10405.26,8085.82,830.2,23901.82,8,0.6154,High
100182,14,178913.98,12779.57,8598.86,352.92,23250.93,6,0.4286,VIP
100183,9,109347.17,12149.69,7249.33,294.59,23053.7,5,0.5556,Medium
100184,19,200387.73,10546.72,6964.3,543.66,22594.72,12,0.6316,VIP
100185,14,179487.93,12820.57,8288.05,458.71,23755.72,8,0.5714,VIP
100186,10,134743.82,13474.38,7864.81,1292.08,23822.66,7,0.7,High
100187,13,158556.15,12196.63,6802.17,765.53,22397.76,3,0.2308,High
100188,11,124192.26,11290.21,7918.23,2362.76,22545.27,8,0.7273,Medium
100189,15,165601.07,11040.07,6965.07,778.57,22306.54,8,0.5333,High
100190,12,142757.68,11896.47,7294.31,2024.03,23638.99,6,0.5,High
100191,11,110371.21,10033.75,6773.1,2357.14,23012.09,5,0.4545,Medium
100192,12,153289.01,12774.08,5422.31,4995.58,23140.72,6,0.5,High
100193,12,127041.87,10586.82,7536.96,3066.39,23618.73,3,0.25,Medium
100194,8,117072.82,14634.1,4207.06,8199.98,19809.6,6,0.75,Medium
100195,6,88455.14,14742.52,3533.07,11172.19,20586.04,5,0.8333,Low
100196,16,184224.0,11514.0,7022.76,367.3,23864.23,11,0.6875,VIP
100197,12,158990.09,13249.17,7525.65,1225.9,21989.07,7,0.5833,High
100198,8,111069.47,13883.68,7733.65,3013.32,24034.77,4,0.5,Medium
100199,11,115695.23,10517.75,7575.24,970.13,23299.76,5,0.4545,Medium
100200,14,162430.3,11602.16,5774.14,625.09,23654.64,8,0.5714,High
100201,11,90224.51,8202.23,6803.29,301.46,20729.0,9,0.8182,Low
100202,13,166458.14,12804.47,5597.53,1746.34,19435.05,4,0.3077,VIP
100203,17,205411.46,12083.03,6472.0,1070.4,24035.99,9,0.5294,VIP
100204,8,126962.17,15870.27,6785.88,7216.89,23820.87,5,0.625,Medium
100205,13,137088.33,10545.26,7075.04,511.63,23710.47,7,0.5385,High
100206,13,170090.4,13083.88,8140.74,1442.47,23092.59,5,0.3846,VIP
100207,15,171013.02,11400.87,5737.35,2793.91,21437.63,4,0.2667,VIP
100208,14,189602.38,13543.03,6770.84,3537.64,23572.76,7,0.5,VIP
100209,13,187223.42,14401.8,9174.15,967.01,23852.96,5,0.3846,VIP
100210,10,103168.63,10316.86,4498.66,4398.04,16901.58,3,0.3,Low
100211,15,218130.89,14542.06,6377.94,338.69,22821.15,9,0.6,VIP
100212,9,89120.83,9902.31,6796.4,2165.78,20758.88,3,0.3333,Low
100213,9,138390.58,15376.73,4484.97,4932.39,19882.38,4,0.4444,High
100214,17,220317.96,12959.88,6129.33,762.41,20489.83,7,0.4118,VIP
100215,11,188107.7,17100.7,6462.84,5786.4,23382.57,7,0.6364,VIP
100216,13,110018.86,8462.99,7296.86,628.98,23807.59,7,0.5385,Medium
100217,12,155673.53,12972.79,7058.43,171.62,21708.66,6,0.5,High
100218,12,155922.67,12993.56,7914.09,609.23,22505.83,4,0.3333,High
100219,15,206223.33,13748.22,7858.87,385.56,23496.47,7,0.4667,VIP
100220,9,116524.95,12947.22,5893.93,7016.21,22722.33,5,0.5556,Medium
100221,7,119899.07,17128.44,5907.52,8836.7,23792.84,4,0.5714,Medium
100222,12,165372.14,13781.01,7219.75,2765.14,23845.74,6,0.5,High
100223,11,148684.26,13516.75,6761.04,944.21,22239.02,5,0.4545,High
100224,9,115108.99,12789.89,7352.67,2737.53,23604.05,3,0.3333,Medium
100225,9,91421.46,10157.94,5002.57,3996.45,18979.74,6,0.6667,Low
100226,8,94252.77,11781.6,7340.06,1252.83,23161.03,6,0.75,Low
100227,17,174604.29,10270.84,6730.22,997.59,20921.25,7,0.4118,VIP
100228,12,134162.92,11180.24,7437.53,491.4,21639.18,4,0.3333,Medium
100229,10,109099.56,10909.96,7081.19,1128.22,20211.31,7,0.7,Medium
100230,10,160435.68,16043.57,6395.6,6969.68,23893.51,5,0.5,High
100231,15,254629.92,16975.33,7324.16,1920.02,23950.75,7,0.4667,VIP
100232,11,119671.96,10879.27,6866.14,3025.61,20801.9,7,0.6364,Medium
100233,18,237292.1,13182.89,5856.4,1382.82,22526.93,7,0.3889,VIP
100234,12,155637.94,12969.83,8521.4,1411.22,22093.7,5,0.4167,High
100235,21,245021.31,11667.68,7103.17,261.58,23745.22,11,0.5238,VIP
100236,15,224529.33,14968.62,6394.55,4428.03,23637.94,4,0.2667,VIP
100237,7,112872.29,16124.61,5435.47,9025.14,23035.52,4,0.5714,Medium
100238,11,169373.65,15397.6,6948.54,2263.82,23834.46,6,0.5455,VIP
100239,12,117993.55,9832.8,5794.82,2728.69,19744.5,5,0.4167,Medium
100240,9,85553.65,9505.96,6132.18,179.67,19410.8,1,0.1111,Low
100241,13,169079.53,13006.12,6738.2,1762.16,23165.28,4,0.3077,VIP
100242,14,185046.54,13217.61,7265.31,1082.42,23380.66,8,0.5714,VIP
100243,18,287498.5,15972.14,6939.17,1389.16,23867.21,11,0.6111,VIP
100244,8,95080.14,11885.02,6759.68,3889.55,23224.9,3,0.375,Low
100245,7,97157.94,13879.71,8640.42,1386.23,21940.08,3,0.4286,Low
100246,10,108631.09,10863.11,4665.33,1647.09,17563.43,3,0.3,Medium
100247,7,89485.62,12783.66,4830.81,4333.8,17896.95,2,0.2857,Low
100248,7,96621.57,13803.08,7818.46,2453.72,21639.29,3,0.4286,Low
100249,18,186988.36,10388.24,7567.07,169.51,23594.42,10,0.5556,VIP
100250,5,35591.35,7118.27,7344.06,336.03,16678.77,2,0.4,Low
100251,11,139307.76,12664.34,7681.63,2705.83,22370.45,6,0.5455,High
100252,14,171872.65,12276.62,6462.67,803.31,20055.7,9,0.6429,VIP
100253,6,72462.3,12077.05,7200.3,3667.05,20202.99,4,0.6667,Low
100254,13,189714.44,14593.42,7501.88,2603.54,23798.99,8,0.6154,VIP
100255,7,52018.2,7431.17,6405.68,534.65,14604.4,3,0.4286,Low
100256,7,107930.0,15418.57,6907.31,5179.53,22625.73,4,0.5714,Medium
100257,14,154915.27,11065.38,7110.01,2347.72,23994.08,10,0.7143,High
100258,14,172222.05,12301.58,6930.45,834.12,24034.72,8,0.5714,VIP
100259,10,100000.58,10000.06,6989.74,990.09,21336.31,4,0.4,Low
100260,13,179906.99,13839.0,7658.71,2191.29,23733.85,8,0.6154,VIP
100261,5,83012.62,16602.52,6519.34,10917.12,23989.23,3,0.6,Low
100262,14,135092.29,9649.45,7499.11,304.9,21128.43,10,0.7143,High
100263,17,235871.28,13874.78,5726.14,2687.42,23246.94,8,0.4706,VIP
100264,10,136940.41,13694.04,6667.25,4866.0,23713.69,6,0.6,High
100265,10,133555.79,13355.58,7207.28,2320.06,22588.55,6,0.6,Medium
100266,14,168490.96,12035.07,7150.26,617.17,21084.42,9,0.6429,VIP
100267,10,125241.03,12524.1,6357.29,3920.68,23994.83,3,0.3,Medium
100268,12,124220.23,10351.69,6379.1,1923.78,22041.39,9,0.75,Medium
100269,17,202226.04,11895.65,6827.71,1317.29,20796.29,10,0.5882,VIP
100270,6,67160.32,11193.39,5216.63,2651.74,16026.82,3,0.5,Low
100271,10,124353.01,12435.3,6064.18,1213.01,21518.96,6,0.6,Medium
100272,9,109143.52,12127.06,6023.05,1034.72,20061.12,7,0.7778,Medium
100273,11,121956.07,11086.92,6189.87,1055.38,20414.59,6,0.5455,Medium
100274,6,66028.2,11004.7,6607.56,6112.69,23942.77,1,0.1667,Low
100275,11,132995.57,12090.51,5948.3,4810.81,22874.47,6,0.5455,Medium
100276,8,87027.17,10878.4,3242.87,6152.71,15654.75,1,0.125,Low
100277,13,133432.51,10264.04,7177.37,2124.06,20380.58,5,0.3846,Medium
100278,15,182996.03,12199.74,5282.51,2956.7,21402.91,8,0.5333,VIP
100279,14,177888.05,12706.29,7823.51,1589.22,23095.8,5,0.3571,VIP
100280,8,91642.91,11455.36,6746.41,913.51,19084.86,3,0.375,Low
100281,14,118334.7,8452.48,6390.24,1443.94,21102.61,7,0.5,Medium
100282,9,114034.94,12670.55,6363.37,6000.67,22814.97,6,0.6667,Medium
100283,14,165953.7,11853.84,6070.25,453.31,21859.34,9,0.6429,High
100284,17,164502.15,9676.6,7024.52,52.94,23250.3,8,0.4706,High
100285,9,126386.08,14042.9,7227.71,2992.18,22947.55,7,0.7778,Medium
100286,10,123568.65,12356.86,8894.68,573.38,23525.48,6,0.6,Medium
100287,12,113009.54,9417.46,6910.81,1601.79,20906.67,7,0.5833,Medium
100288,6,75749.96,12624.99,7297.48,3174.95,20398.4,1,0.1667,Low
100289,7,67941.55,9705.94,9290.11,127.76,21728.48,4,0.5714,Low
100290,7,100040.14,14291.45,8033.88,2749.65,23936.77,2,0.2857,Low
100291,9,148091.27,16454.59,6549.31,4353.43,23832.64,3,0.3333,High
100292,13,144103.03,11084.85,7166.41,1568.77,23850.78,8,0.6154,High
100293,14,182910.71,13065.05,7503.55,1042.52,22048.24,7,0.5,VIP
100294,17,226975.46,13351.5,6525.12,2917.61,22806.03,9,0.5294,VIP
100295,11,164007.33,14909.76,7037.72,2945.68,23934.15,7,0.6364,High
100296,15,164988.49,10999.23,6919.52,407.63,22972.85,7,0.4667,High
100297,5,68537.2,13707.44,7951.27,3688.11,22799.85,3,0.6,Low
100298,11,104760.03,9523.64,8236.69,336.73,23794.15,8,0.7273,Medium
100299,9,116818.74,12979.86,7929.77,2067.44,22831.57,7,0.7778,Medium
100300,11,110508.2,10046.2,5742.91,2050.91,19359.62,4,0.3636,Medium
100301,13,162284.14,12483.4,5883.6,4403.19,21896.27,5,0.3846,High
100302,9,128107.44,14234.16,8100.79,2890.3,22737.45,5,0.5556,Medium
100303,13,158334.66,12179.59,6399.79,2596.1,21132.21,5,0.3846,High
100304,11,59153.91,5377.63,4784.58,650.74,15165.26,8,0.7273,Low
100305,9,126762.83,14084.76,4881.14,3019.18,19454.38,2,0.2222,Medium
100306,13,187086.6,14391.28,6814.7,289.35,23315.34,7,0.5385,VIP
100307,6,106365.2,17727.53,3817.69,12019.1,23445.86,3,0.5,Medium
100308,8,99940.34,12492.54,7923.79,112.52,23058.31,5,0.625,Low
100309,7,94387.64,13483.95,6941.91,2522.56,24037.8,4,0.5714,Low
100310,11,98120.59,8920.05,5786.54,3251.33,22619.87,2,0.1818,Low
100311,9,105219.28,11691.03,8093.99,93.17,22836.5,1,0.1111,Medium
100312,15,162467.63,10831.18,5587.05,853.98,22236.85,7,0.4667,High
100313,9,130549.16,14505.46,3728.88,9087.24,19686.94,5,0.5556,Medium
100314,11,148493.29,13499.39,7327.42,3827.21,23249.92,9,0.8182,High
100315,11,158791.17,14435.56,5973.26,3387.67,22489.07,5,0.4545,High
100316,8,85951.58,10743.95,6955.54,4234.66,21604.82,3,0.375,Low
100317,9,98317.87,10924.21,6151.38,1750.54,18950.93,4,0.4444,Low
100318,11,114011.37,10364.67,6132.14,1675.89,19733.96,5,0.4545,Medium
100319,8,68577.97,8572.25,8752.2,650.59,22594.6,4,0.5,Low
100320,9,81510.14,9056.68,5224.15,1148.42,17950.59,4,0.4444,Low
100321,8,109932.73,13741.59,7603.45,2871.43,22609.3,5,0.625,Medium
100322,12,161892.51,13491.04,7658.95,323.22,23922.63,6,0.5,High
100323,13,182007.77,14000.6,5722.69,5275.54,23525.71,10,0.7692,VIP
100324,9,92048.96,10227.66,8832.09,199.91,23030.55,5,0.5556,Low
100325,14,150807.33,10771.95,8529.6,171.08,23452.84,7,0.5,High
100326,9,124442.48,13826.94,5744.02,5862.36,23782.02,6,0.6667,Medium
100327,9,150516.88,16724.1,4646.58,8139.42,22662.22,5,0.5556,High
100328,9,131449.54,14605.5,6677.38,1647.59,22888.18,4,0.4444,Medium
100329,13,137674.3,10590.33,7769.91,521.62,23127.15,4,0.3077,High
100330,14,172729.98,12337.86,6603.86,2241.87,23090.56,5,0.3571,VIP
100331,9,119927.87,13325.32,7275.77,412.76,23299.84,3,0.3333,Medium
100332,8,104801.83,13100.23,6320.98,2978.2,21315.51,3,0.375,Medium
100333,4,40244.47,10061.12,10193.61,1180.79,19819.58,2,0.5,Low
100334,17,221206.91,13012.17,7124.8,792.45,22656.15,9,0.5294,VIP
100335,6,79122.02,13187.0,4690.06,6741.47,19595.01,1,0.1667,Low
100336,10,94210.54,9421.05,8294.52,125.58,23793.91,6,0.6,Low
100337,16,184664.27,11541.52,4867.3,2312.2,19790.88,7,0.4375,VIP
100338,10,78157.59,7815.76,7500.63,196.34,20578.96,2,0.2,Low
100339,15,213990.82,14266.05,7251.11,174.89,23248.23,3,0.2,VIP
100340,19,249302.52,13121.19,7077.84,280.98,22557.44,11,0.5789,VIP
100341,15,178001.11,11866.74,8134.22,1146.4,22447.99,10,0.6667,VIP
100342,12,132525.75,11043.81,6110.67,3454.92,22451.98,6,0.5,Medium
100343,11,149587.07,13598.82,6790.16,1555.83,21052.11,6,0.5455,High
100344,13,153556.85,11812.07,6887.23,1924.34,21807.94,8,0.6154,High
100345,12,137689.09,11474.09,6330.19,1210.43,19818.46,7,0.5833,High
100346,13,151726.86,11671.3,6199.51,363.08,22601.82,7,0.5385,High
100347,10,125053.38,12505.34,6659.4,2030.82,20744.77,3,0.3,Medium
100348,11,130293.17,11844.83,6735.42,371.45,19724.43,4,0.3636,Medium
100349,8,69259.6,8657.45,7838.99,1457.44,23783.83,3,0.375,Low
