TransactionDate,Daily_Amount,Daily_Count,Avg_Amount,Fraud_Count,Fraud_Rate,Day
2024-02-07,75185660.43,6244,12041.265283472134,3170,0.5076873798846893,2024-02-07
2024-02-08,77836178.78,6479,12013.609936718629,3206,0.4948294489890415,2024-02-08
2024-02-09,76459047.08,6372,11999.222705586943,3160,0.49591964846202136,2024-02-09
2024-02-10,77211631.66,6456,11959.670331474597,3301,0.5113073110285006,2024-02-10
2024-02-11,77493120.02,6421,12068.699582619529,3294,0.5130042049524997,2024-02-11
2024-02-12,75785146.11,6309,12012.227945791727,3126,0.4954826438421303,2024-02-12
2024-02-13,76924680.73,6355,12104.59177498033,3244,0.5104642014162077,2024-02-13
2024-02-14,75223112.44,6265,12006.881474860334,3138,0.500877893056664,2024-02-14
2024-02-15,75624723.82,6273,12055.59123545353,3053,0.4866889845369042,2024-02-15
2024-02-16,75573734.1,6262,12068.62569466624,3173,0.5067071223251357,2024-02-16
2024-02-17,76648174.32,6271,12222.639821400095,3087,0.49226598628607876,2024-02-17
2024-02-18,78950811.43,6433,12272.782749883414,3230,0.5020985543292399,2024-02-18
2024-02-19,74786299.51,6213,12037.067360373412,3195,0.5142443264123612,2024-02-19
2024-02-20,74912603.83,6185,12111.9812174616,3164,0.5115602263540825,2024-02-20
2024-02-21,74602641.08,6285,11869.950848050914,3095,0.492442322991249,2024-02-21
2024-02-22,75192478.76,6267,11998.161602042446,3152,0.5029519706398596,2024-02-22
2024-02-23,78247274.96,6545,11955.275012987013,3232,0.4938120702826585,2024-02-23
2024-02-24,74752026.45,6256,11948.853332800512,3160,0.5051150895140665,2024-02-24
2024-02-25,75664884.2,6263,12081.252466868913,3134,0.5003991697269679,2024-02-25
2024-02-26,75346709.01,6246,12063.19388568684,3191,0.510886967659302,2024-02-26
2024-02-27,75596440.97,6311,11978.520198066868,3091,0.48977974964347964,2024-02-27
2024-02-28,76819526.44,6325,12145.3796743083,3154,0.4986561264822134,2024-02-28
2024-02-29,77037664.7,6426,11988.432103952693,3142,0.48895113600995954,2024-02-29
2024-03-01,79360211.77,6512,12186.76470669533,3230,0.496007371007371,2024-03-01
2024-03-02,76297974.09,6292,12126.187871900827,3146,0.5,2024-03-02
2024-03-03,75833161.39,6363,11917.831430143015,3155,0.49583529781549585,2024-03-03
2024-03-04,77561195.9,6426,12069.90287892935,3263,0.5077808901338313,2024-03-04
2024-03-05,76453753.28,6292,12150.946166560712,3172,0.5041322314049587,2024-03-05
2024-03-06,74724681.95,6197,12058.202670647088,3047,0.49168952719057607,2024-03-06
2024-03-07,74269364.68,6220,11940.412327974278,3068,0.4932475884244373,2024-03-07
2024-03-08,76196046.94,6311,12073.52985897639,3129,0.49580098241166215,2024-03-08
2024-03-09,76727052.55,6399,11990.475472730113,3229,0.5046100953273949,2024-03-09
2024-03-10,75508203.11,6298,11989.235171483011,3202,0.5084153699587171,2024-03-10
2024-03-11,75485597.82,6287,12006.616481628756,3158,0.5023063464291395,2024-03-11
2024-03-12,75670943.03,6362,11894.206700723043,3178,0.4995284501729016,2024-03-12
2024-03-13,77746271.57,6476,12005.292089252624,3233,0.49922791846819026,2024-03-13
2024-03-14,76097125.45,6299,12080.826393078267,3117,0.4948404508652167,2024-03-14
2024-03-15,74502712.68,6254,11912.809830508475,3112,0.49760153501758875,2024-03-15
2024-03-16,74856509.73,6263,11952.181020277823,3182,0.5080632284847517,2024-03-16
2024-03-17,76861229.21,6453,11910.9296776693,3212,0.49775298310863164,2024-03-17
2024-03-18,76203609.94,6352,11996.789977959697,3191,0.5023614609571788,2024-03-18
2024-03-19,75744019.79,6263,12093.88787961041,3180,0.5077438927031774,2024-03-19
2024-03-20,77322874.94,6352,12172.996684508817,3229,0.5083438287153652,2024-03-20
2024-03-21,78050835.16,6454,12093.404889990703,3241,0.5021691973969631,2024-03-21
2024-03-22,75910978.77,6301,12047.449415965719,3179,0.5045230915727662,2024-03-22
2024-03-23,74698314.15,6144,12157.928735351563,3117,0.50732421875,2024-03-23
2024-03-24,75033087.34,6151,12198.518507559747,3051,0.4960169078198667,2024-03-24
2024-03-25,76680283.4,6363,12050.96391639164,3226,0.506993556498507,2024-03-25
2024-03-26,76279339.86,6390,11937.298882629108,3221,0.5040688575899843,2024-03-26
2024-03-27,75359944.4,6295,11971.397045274029,3165,0.5027799841143765,2024-03-27
2024-03-28,76166921.53,6286,12116.914020044544,3122,0.49665924276169265,2024-03-28
2024-03-29,76959543.07,6400,12024.928604687499,3200,0.5,2024-03-29
2024-03-30,76589253.68,6382,12000.823202757758,3093,0.4846443121278596,2024-03-30
2024-03-31,31043.940000000002,2,15521.970000000001,0,0.0,2024-03-31
