CustomerID,Recency,Frequency,Monetary
100407,2,12,156244.07
100408,2,11,104411.77
100409,1,18,233594.09
100410,3,16,207812.2
100411,8,12,163856.72999999998
100412,10,12,167170.84
100413,1,11,134908.52
100414,9,8,100201.42
100415,7,12,168314.46
100416,10,5,52197.66
100417,3,18,211560.33
100418,6,20,237259.81
100419,11,6,58462.420000000006
100420,10,11,151962.53
100421,10,11,165420.91
100422,3,12,160128.3
100423,46,5,61231.29
100424,10,11,181907.12
100425,15,14,183650.49
100426,3,11,130900.58
100427,18,5,44413.57
100428,2,10,81186.4
100429,2,6,54220.34
100430,9,12,137584.07
100431,32,10,124728.85
100432,2,13,145092.27
100433,1,13,147101.24
100434,6,14,170923.75
100435,23,9,92575.48999999999
100436,22,7,91470.64
100437,6,8,85206.53
100438,2,12,152930.7
100439,6,11,129330.43
100440,8,11,140593.33000000002
100441,7,8,81473.49
100442,2,8,85020.76
100443,3,12,161654.07
100444,10,12,109469.81
100445,9,6,71184.99
100446,7,14,171964.25
100447,12,10,109416.64
100448,8,13,192023.65
100449,3,16,203450.30000000002
100450,9,10,109040.95
100451,3,5,62538.130000000005
100452,1,7,88693.41
100453,9,14,191956.63
100454,10,10,115770.42
100455,6,22,304261.62
100456,2,15,168356.01
100457,6,15,149773.25
100458,1,9,112751.23
100459,18,13,145362.9
100460,27,9,144923.6
100461,2,14,155599.22
100462,3,11,162716.66
100463,2,15,188164.2
100464,23,8,98424.84999999999
100465,4,18,197027.95
100466,43,5,66809.53
100467,2,7,70960.4
100468,21,12,111049.25
100469,13,11,138657.5
100470,5,7,106530.5
100471,8,10,125563.45
100472,1,12,128295.88
100473,30,7,69075.43
100474,9,13,145008.74
100475,20,7,90053.59
100476,3,11,130251.59
100477,3,20,276154.47
100478,16,12,139499.35
100479,2,12,144240.62
100480,29,6,66255.03
100481,4,8,87062.72
100482,8,10,138047.6
100483,8,9,107091.95999999999
100484,6,9,74946.05
100485,16,10,84845.35
100486,7,6,118796.26
100487,8,14,147809.04
100488,2,20,248578.51
100489,3,18,293489.13
100490,3,13,189385.97
100491,2,11,112126.95999999999
100492,20,16,179983.84
100493,1,13,157344.47
100494,10,8,94627.14
100495,4,14,168138.66999999998
100496,2,13,136568.35
100497,13,12,191152.06
100498,7,11,98621.7
100499,6,14,179538.88
100500,8,10,110859.93
100501,4,13,176255.24
100502,2,11,158821.17
100503,25,7,122635.72
100504,2,12,163795.83
100505,37,5,82136.2
100506,3,10,96585.34
100507,10,12,131388.17
100508,1,7,94862.20999999999
100509,22,15,190517.19
100510,7,18,288463.59
100511,5,6,112817.0
100512,6,9,154724.53
100513,5,14,153159.32
100514,6,16,195290.77
100515,10,14,188067.65
100516,17,8,117828.98
100517,2,10,88564.9
100518,3,16,198245.89
100519,3,9,123429.72
100520,2,11,113037.03
100521,4,11,98206.62
100522,9,9,107171.69
100523,2,11,171057.15
100524,23,11,163041.46000000002
100525,9,16,218030.88
100526,28,7,111854.84999999999
100527,10,19,218131.46000000002
100528,2,10,104035.29
100529,8,10,117664.59
100530,6,11,126091.76
100531,4,22,212867.36000000002
100532,16,11,138061.73
100533,11,14,179705.55
100534,2,11,142516.43
100535,2,15,190598.66
100536,1,11,135323.16999999998
100537,1,9,103542.36
100538,9,9,124102.14
100539,3,6,68112.6
100540,2,10,100100.70999999999
100541,5,11,161970.15
100542,3,15,188010.33
100543,16,9,89290.2
100544,30,8,112955.12
100545,6,15,198338.56
100546,2,13,153975.12
100547,11,9,70116.47
100548,1,16,190856.53
100549,1,4,54773.95
100550,25,7,124404.82
100551,7,14,162176.46
100552,2,12,137065.75
100553,1,10,100353.0
100554,9,17,187116.4
100555,9,10,155544.58000000002
100556,6,12,115858.01
100557,1,12,141029.45
100558,2,14,160736.18
100559,15,9,103006.25
100560,3,9,87109.35
100561,22,11,145959.49
100562,4,9,122227.04
100563,1,15,191062.09
100564,3,8,102268.69
100565,2,14,160681.78
100566,1,14,159653.6
100567,2,14,208184.31
100568,2,12,120891.69
100569,6,12,140642.72
100570,5,12,112243.5
100571,12,11,170551.05000000002
100572,6,11,153266.52
100573,13,4,54360.29
100574,15,9,76539.12
100575,3,7,95937.91
100576,3,16,198932.0
100577,3,13,170569.11000000002
100578,3,8,70292.29
100579,1,8,115691.76
100580,1,14,206990.71
100581,5,12,165053.46
100582,7,8,123554.76
100583,8,11,170102.26
100584,1,9,120157.38
100585,22,7,64176.57
100586,5,16,155513.37
100587,7,10,128490.18
100588,1,16,205079.15
100589,1,12,161930.55
100590,10,15,182677.4
100591,2,16,170547.54
100592,9,9,123733.87
100593,13,9,127499.56
100594,1,13,152189.95
100595,14,9,115387.93000000001
100596,1,9,88413.47
100597,13,10,98896.68
100598,11,12,151780.64
100599,14,9,88163.28
100600,3,17,212342.57
100601,4,8,77523.53
100602,6,15,199059.77
100603,11,7,75081.24
100604,25,9,116781.59999999999
100605,1,16,173112.9
100606,1,15,170470.18
100607,1,9,128918.76999999999
100608,4,9,92995.61
100609,3,12,172264.18
100610,19,8,92212.05
100611,6,12,158450.48
100612,21,6,61738.97
100613,6,10,128848.12
100614,3,12,136113.74
100615,12,9,85012.63
100616,2,7,65337.0
100617,4,14,187149.46
100618,24,9,113891.06
100619,6,12,98241.34
100620,3,23,257416.89
100621,26,9,112848.49
100622,7,13,181579.12
100623,3,16,199645.79
100624,1,12,123942.59
100625,11,15,148279.17
100626,4,11,170410.84
100627,2,11,100306.44
100628,19,10,136528.91
100629,21,11,165692.51
100630,2,8,112877.08
100631,2,16,205998.69
100632,12,8,98516.81999999999
100633,10,13,201988.06
100634,2,14,208889.27000000002
100635,6,15,179838.61000000002
100636,8,13,161671.1
100637,1,13,169317.05
100638,2,10,94868.81
100639,6,7,89875.47
100640,2,10,141527.36000000002
100641,29,12,120727.45
100642,1,15,222687.32
100643,5,13,160698.79
100644,8,7,121247.18000000001
100645,1,23,350049.65
100646,22,12,178991.57
100647,3,6,47422.92
100648,4,16,153440.47
100649,5,14,218167.32
100650,4,13,131161.63999999998
100651,3,11,133620.15
100652,1,6,72490.16
100653,7,11,145110.57
100654,6,17,242468.69
100655,21,9,96934.31
100656,2,13,132008.84
100657,16,8,116376.68
100658,3,8,121548.97
100659,11,12,144138.08
100660,17,11,162884.53
100661,5,18,204123.07
100662,2,7,97694.48999999999
100663,22,10,156103.83000000002
100664,1,21,293511.6
100665,2,17,225246.68
100666,3,12,163733.66
100667,14,13,137654.75
100668,24,7,96379.86
100669,13,11,139633.77
100670,1,11,141707.54
100671,2,12,151429.53
100672,8,12,153464.38
100673,6,6,68932.31999999999
100674,17,7,75122.72
100675,14,13,155496.22
100676,1,8,133399.78
100677,15,10,135734.21
100678,2,11,121991.65
100679,10,9,105917.97
100680,5,11,105610.36
100681,5,7,60880.950000000004
100682,11,12,176147.05
100683,2,14,190899.96
100684,18,8,78872.28
100685,1,17,102185.06999999999
100686,13,13,154200.16999999998
100687,11,10,120266.05
100688,6,15,227541.81
100689,20,8,103682.64
100690,3,12,124696.58
100691,5,9,134927.88
100692,22,14,191626.61
100693,1,20,305389.36
100694,2,14,147873.74
100695,6,13,157610.71
100696,9,8,117489.2
100697,4,15,112401.93000000001
100698,6,15,189578.28
100699,3,12,155017.26
100700,11,16,213992.27000000002
100701,11,12,119276.58
100702,9,13,89328.97
100703,31,7,58786.649999999994
100704,37,8,70193.29000000001
100705,13,9,103216.35
100706,3,17,204166.41
100707,2,13,190614.34
100708,19,11,103304.70999999999
100709,4,10,116064.0
100710,12,9,132191.26
100711,3,14,172109.96
100712,1,9,112623.75
100713,2,8,80057.66
100714,9,15,176582.54
100715,1,15,175238.52
100716,9,18,234356.22
100717,1,17,227988.65
100718,7,7,84431.09
100719,13,7,72751.66
100720,3,18,228406.91999999998
100721,5,13,155147.2
100722,1,15,178544.2
100723,5,11,132732.74
100724,2,13,203826.48
100725,10,11,153193.7
100726,2,19,304402.81
100727,14,14,141286.54
100728,4,10,137840.98
100729,2,17,211326.62
100730,22,9,111634.95999999999
100731,2,8,112456.37000000001
100732,15,15,181945.14
100733,7,14,168606.29
100734,4,17,238881.76
100735,6,11,125897.36
100736,4,14,197501.19
100737,8,9,145819.49
100738,38,8,112348.81
100739,6,11,107562.06999999999
100740,6,11,155148.05
100741,3,9,110925.07
100742,1,12,108625.14
100743,3,9,103466.04000000001
100744,3,15,186503.52
100745,8,15,190717.19
100746,11,10,105595.02
100747,3,12,155342.45
100748,12,12,159646.79
100749,3,11,104440.55
100750,21,7,100174.24
100751,3,17,232910.05
100752,21,11,138618.03
100753,19,11,161608.41
100754,5,12,121795.43000000001
100755,11,14,171624.77
100756,2,17,244816.64
100757,24,8,84544.31
100758,15,10,104573.8
100759,2,13,116949.14
100760,8,11,128055.55
100761,1,16,195350.63
100762,3,10,138952.18
100763,4,11,128403.18000000001
100764,2,14,192183.59
100765,5,13,102343.05
100766,5,17,211286.52
100767,1,9,143213.01
100768,3,17,210014.82
100769,12,20,235450.64
100770,5,11,105243.44
100771,4,10,122255.10999999999
100772,3,13,126097.95
100773,15,5,59503.7
100774,6,10,118772.75
100775,2,10,143027.65
100776,2,9,125818.1
100777,2,16,241384.72
100778,6,16,186094.62
100779,8,6,62827.619999999995
100780,8,4,38178.66
100781,1,9,85434.59
100782,8,10,95740.77
100783,1,12,129326.87
100784,5,12,118334.99
100785,1,19,223572.38
100786,11,17,223484.18
100787,4,10,83851.62999999999
100788,3,10,123763.4
100789,5,6,98445.47
100790,26,7,113812.91
100791,2,15,195726.30000000002
100792,10,16,245211.85
100793,4,11,114552.52
100794,2,18,271272.59
100795,6,4,32128.949999999997
100796,10,18,225616.83000000002
100797,8,13,160089.45
100798,15,9,116656.07
100799,9,11,154767.3
100800,1,11,178083.42
100801,4,10,144202.07
100802,9,8,84103.49
100803,9,12,150996.11
100804,13,11,128524.51
100805,6,13,168701.7
100806,5,13,146009.47
100807,7,12,138038.24
100808,1,16,170767.46
100809,10,9,125456.59
100810,4,16,207052.97
100811,1,8,77617.74
100812,9,8,96782.9
100813,27,10,135263.96
100814,9,12,116811.56999999999
100815,7,16,161501.3
100816,10,15,156423.22
100817,9,8,99236.56999999999
100818,4,6,104647.95999999999
100819,1,12,114298.56999999999
100820,9,12,151248.41
100821,15,9,101563.03
100822,2,11,75439.51
100823,1,15,126516.37999999999
100824,14,11,142349.6
100825,6,11,120425.26999999999
100826,34,7,57866.12
100827,2,14,146574.18
100828,21,9,117675.8
100829,5,10,78540.47
100830,2,10,110728.79000000001
100831,11,7,93280.48
100832,1,13,174826.22
100833,15,8,66644.27
100834,4,8,141323.66
100835,6,12,151462.5
100836,7,12,128561.32
100837,6,15,215040.1
100838,3,9,83381.01999999999
100839,15,10,152499.29
100840,2,10,106418.89
100841,13,14,191815.43
100842,10,11,180224.83
100843,36,7,66756.6
100844,1,11,77945.72
100845,1,13,148149.63
100846,2,13,133965.11
100847,10,7,92093.01999999999
100848,2,14,206064.15
100849,13,9,81665.49
100850,11,9,106058.9
100851,4,11,137548.86
100852,15,6,65940.52
100853,9,12,139429.27
100854,8,11,117315.66
100855,3,9,88349.18
100856,6,9,107510.31
100857,17,10,142773.51
100858,3,12,150248.71
100859,14,8,73032.47
100860,14,10,133579.17
100861,2,12,122567.12
100862,1,13,154721.02
100863,9,9,122977.64
100864,17,13,173757.46
100865,3,9,116935.41
100866,12,9,90894.15
100867,3,12,111232.23
100868,1,12,100426.09
100869,2,11,158101.22
100870,1,16,152269.57
100871,14,7,94417.73
100872,2,12,124628.47
100873,25,6,102424.52
100874,3,11,159044.27000000002
100875,2,8,100830.75
100876,3,16,172864.82
100877,17,6,68129.47
100878,6,16,190296.78
100879,2,11,133386.02
100880,18,11,135879.77
100881,6,14,138529.45
100882,6,7,109714.62
100883,12,8,101261.97
100884,35,5,56041.92
100885,5,13,162613.07
100886,29,9,128834.13
100887,10,12,171670.18
100888,5,11,150369.24
100889,2,8,101570.62
100890,9,10,133624.11000000002
100891,1,5,37587.46
100892,39,8,77960.67
100893,1,12,195702.14
100894,16,11,136647.83
100895,21,10,154582.76
100896,12,7,97779.48999999999
100897,15,14,166657.83000000002
100898,1,12,150470.06
100899,9,12,112851.16
100900,2,18,245803.75
100901,1,12,135482.62
100902,1,9,120619.26
100903,8,8,94306.18
100904,10,19,210278.04
100905,11,7,87421.91
100906,10,10,96094.8
100907,17,5,25169.84
100908,12,11,147188.74
100909,1,11,124157.11
100910,12,13,156534.17
100911,6,10,153804.36000000002
100912,27,9,112080.34
100913,11,9,96881.95999999999
100914,1,12,163812.46000000002
100915,1,14,178007.87
100916,4,16,151003.54
100917,10,17,207880.39
100918,12,18,225564.88999999998
100919,15,10,143440.41
100920,6,6,56490.82
100921,2,9,82882.89
100922,1,15,191524.34
100923,7,9,91327.2
100924,4,12,157754.24
100925,1,8,113100.61
100926,2,10,124155.38
100927,7,13,182299.1
100928,31,3,14226.210000000001
100929,1,9,132774.47
100930,6,14,122186.96
100931,30,10,170195.9
100932,5,8,67846.11
100933,5,12,173494.47
100934,5,14,200965.38
100935,2,12,139081.55
100936,3,7,80351.44
100937,3,12,143216.03
100938,5,13,137105.65
100939,1,12,175831.37
100940,2,12,180233.03
100941,5,13,132006.98
100942,14,8,87399.69
100943,9,11,111308.69
100944,9,14,199001.38
100945,8,15,191140.5
100946,1,14,146469.35
100947,13,14,165995.74
100948,2,17,180214.89
100949,9,9,131655.73
100950,5,13,145022.8
100951,1,17,157425.06
100952,14,11,141337.09
100953,8,8,69879.85
100954,2,9,115649.76000000001
100955,16,10,86036.49
100956,1,16,210181.41
100957,2,15,199974.79
100958,36,6,73201.79
100959,19,7,69144.49
100960,8,12,200319.91999999998
100961,1,15,162710.66999999998
100962,5,11,187506.39
100963,2,11,155390.52
100964,5,11,99923.71
100965,13,10,133078.13999999998
100966,6,13,130406.95999999999
100967,7,17,159260.28
100968,3,11,112787.13
100969,4,13,156451.15
100970,4,13,154720.5
100971,6,9,104195.40000000001
100972,13,12,123986.79999999999
100973,15,7,69884.69
100974,11,8,97421.95999999999
100975,4,13,172594.89
100976,5,10,104032.44
100977,6,9,159104.41999999998
100978,3,19,191107.37
100979,3,7,77252.90000000001
100980,18,11,121304.4
100981,29,9,81535.16
100982,2,8,112262.45
100983,1,11,110383.95999999999
100984,5,18,260099.87
100985,5,12,129441.48
100986,9,8,107779.68
100987,5,18,253502.26
100988,28,9,103746.3
100989,3,13,193211.08000000002
100990,1,10,131784.09999999998
100991,8,11,159913.37
100992,1,11,170608.02
100993,2,11,137238.39
100994,2,7,109036.75
100995,3,13,125818.19
100996,3,8,133864.88
100997,1,13,173811.85
100998,14,8,109344.8
100999,8,9,163733.5
101000,1,9,123927.69
101001,31,9,97897.59
101002,12,7,102215.21
101003,5,16,231644.46
101004,2,11,136482.35
101005,2,12,153757.56
101006,4,15,137665.99
101007,12,11,166226.32
101008,1,13,165615.08000000002
101009,2,10,113460.53
101010,4,18,257824.78
101011,4,10,136290.92
101012,12,7,60982.08
101013,1,17,173971.85
101014,7,11,156557.99
101015,4,8,82946.23
101016,4,14,165616.5
101017,3,9,169169.68
101018,5,11,159048.4
101019,6,14,180250.6
101020,10,6,103475.75
101021,4,11,168453.42
101022,12,13,130116.31999999999
101023,23,12,120251.56
101024,19,18,216360.38999999998
101025,1,13,166842.59
101026,3,9,121036.76
101027,18,5,61257.31
101028,2,11,156000.0
101029,7,15,172583.43
101030,15,9,85567.29000000001
101031,7,11,158394.94
101032,20,2,34513.99
101033,16,13,122046.62
101034,3,11,75717.78
101035,11,7,72786.25
101036,1,9,111516.73
101037,1,14,178711.19
101038,7,9,93549.57
101039,9,13,167675.94
101040,10,5,51659.75
101041,6,17,233706.08000000002
101042,13,9,99643.55
101043,12,12,130391.91
101044,1,19,270825.02
101045,62,2,40594.92
101046,4,11,147730.1
101047,15,8,85276.85
101048,1,15,160696.5
101049,2,6,96109.21
101050,2,12,117576.74
101051,12,8,85557.25
101052,21,4,51961.4
101053,5,5,64498.950000000004
101054,29,5,46370.56
101055,3,14,136635.26
101056,8,10,95647.58
101057,17,12,154746.88
101058,1,16,190121.16
101059,19,7,68618.33
101060,1,14,152237.49
101061,18,8,80763.2
101062,1,12,173195.84
101063,13,9,99014.79
101064,16,9,95949.11
101065,18,17,211561.61000000002
101066,4,12,126273.07
101067,1,16,199551.13
101068,5,9,96703.01
101069,3,9,80252.97
101070,9,10,128595.90000000001
101071,15,13,121543.86
101072,17,8,94771.6
101073,1,24,325026.45
101074,6,16,199074.79
101075,4,15,202809.52
101076,8,10,140756.19
101077,50,5,96728.3
101078,18,11,141300.68
101079,1,14,152966.51
101080,13,15,203524.53
101081,1,15,206331.28
101082,1,13,150859.38
101083,3,14,187429.81
101084,1,8,82660.75
101085,8,15,159683.15
101086,4,7,59503.49
101087,3,15,154496.09
101088,32,11,141902.79
101089,6,9,117850.86
101090,4,5,65933.4
101091,6,9,71826.65999999999
101092,4,9,110806.11
101093,7,9,139272.71
101094,7,19,237232.09
101095,8,8,86806.95999999999
101096,24,8,99745.98999999999
101097,17,14,223026.62
101098,2,13,168128.65
101099,1,9,138908.13
101100,5,10,105173.94
101101,6,11,127770.19
101102,3,15,200997.66
101103,8,9,94922.48
101104,1,12,136826.51
101105,3,8,102158.66
101106,9,8,79587.75
101107,1,5,50637.200000000004
101108,10,11,116259.05
101109,3,9,108539.17
101110,5,7,91128.09
101111,8,9,88568.20999999999
101112,1,12,137925.54
101113,9,13,133045.5
101114,12,11,172994.02
101115,12,9,105081.24
101116,6,13,196437.87
101117,7,17,251348.1
101118,2,14,145407.33
101119,2,11,120275.26
101120,4,15,197737.37
101121,2,15,145855.65
101122,7,9,103999.81
101123,6,11,119128.14
